iter	Logloss
0	0.6735032734
1	0.6541770093
2	0.6390282008
3	0.628569876
4	0.6176839348
5	0.6082609498
6	0.6015080107
7	0.5949666068
8	0.5902523504
9	0.5846314098
10	0.5797320926
11	0.5757451382
12	0.5720794015
13	0.5688745362
14	0.5664676458
15	0.5636613739
16	0.5611678948
17	0.5593617649
18	0.5572319982
19	0.5550839212
20	0.5533899588
21	0.5517346951
22	0.5503263164
23	0.5490280479
24	0.5470568065
25	0.5454393146
26	0.5438137702
27	0.5421069153
28	0.5411385176
29	0.5403590751
30	0.5393064834
31	0.5381807964
32	0.5375088589
33	0.5369233525
34	0.5358451291
35	0.5351656483
36	0.5342731334
37	0.5335655956
38	0.5327143161
39	0.5319678177
40	0.5311756187
41	0.5306150652
42	0.5298589838
43	0.5291248063
44	0.5285032699
45	0.527832349
46	0.5271091381
47	0.5263966724
48	0.5258579037
49	0.5253515543
50	0.524976843
51	0.5242237383
52	0.523875721
53	0.5227516848
54	0.52223323
55	0.5217989223
56	0.5212884981
57	0.5208609714
58	0.5205031007
59	0.5199737257
60	0.5193365955
61	0.5188028642
62	0.5184987183
63	0.5181047919
64	0.5175960134
65	0.5168411034
66	0.5164111334
67	0.5159798288
68	0.515472004
69	0.5151631779
70	0.5145400511
71	0.5140887619
72	0.5133460338
73	0.5129414749
74	0.5120229468
75	0.5115616188
76	0.5113172911
77	0.5109007378
78	0.510437433
79	0.510014368
80	0.5096136932
81	0.509243393
82	0.5089376808
83	0.508511606
84	0.5079650882
85	0.5075594313
86	0.5071134339
87	0.5068359868
88	0.5064564369
89	0.5060361453
90	0.5056711387
91	0.5052240743
92	0.5048090675
93	0.5044964362
94	0.5040743149
95	0.5036633886
96	0.5031699502
97	0.5028651941
98	0.5023386971
99	0.5020840235
100	0.5014076531
101	0.5009639431
102	0.5002069737
103	0.4997130548
104	0.4991490188
105	0.4985992456
106	0.4979521528
107	0.4973965301
108	0.4968938466
109	0.496632565
110	0.4962126197
111	0.4958180973
112	0.4954796746
113	0.4950245026
114	0.4944947873
115	0.4940601231
116	0.4935591158
117	0.4932793468
118	0.4928702709
119	0.4924198434
120	0.492053745
121	0.4916735406
122	0.4910581634
123	0.49072223
124	0.4903154072
125	0.4899741776
126	0.4896505415
127	0.4893205548
128	0.488954929
129	0.4885282832
130	0.4881998407
131	0.4878648591
132	0.4875433858
133	0.4871697832
134	0.4865979344
135	0.4863133653
136	0.4859662431
137	0.4856303163
138	0.4853067785
139	0.4847685228
140	0.4844576773
141	0.4840337199
142	0.4837668268
143	0.4833820556
144	0.4830496704
145	0.482653213
146	0.4822593775
147	0.4820482122
148	0.4818230693
149	0.481531134
150	0.4812411386
151	0.4809287044
152	0.4806423015
153	0.4803292504
154	0.4799431064
155	0.4797073952
156	0.479377435
157	0.4790329205
158	0.4786986453
159	0.4784460221
160	0.478139751
161	0.4777911456
162	0.4775595569
163	0.4772949865
164	0.4769306671
165	0.4766809745
166	0.4762060608
167	0.4757996526
168	0.4755811479
169	0.4753227184
170	0.4749813436
171	0.4747047779
172	0.4745513384
173	0.474246092
174	0.474056335
175	0.4738442987
176	0.4735384218
177	0.4732408545
178	0.4730446957
179	0.4725638666
180	0.4723553941
181	0.4720104787
182	0.4716472279
183	0.4714063625
184	0.4712375372
185	0.4709310216
186	0.4706250321
187	0.4703369139
188	0.4701073552
189	0.4698750328
190	0.469706978
191	0.4690601587
192	0.4688438617
193	0.468586469
194	0.4682297138
195	0.4679682381
196	0.4675976607
197	0.4673029396
198	0.4670133999
199	0.4668146283
200	0.4664717608
201	0.4662401762
202	0.4660163842
203	0.4658634093
204	0.4654669147
205	0.4652497706
206	0.464854678
207	0.464526984
208	0.4642465232
209	0.4640969382
210	0.4638069092
211	0.4633568038
212	0.4630099633
213	0.4627829544
214	0.4624776836
215	0.4620231606
216	0.4617033556
217	0.4614502718
218	0.4611658033
219	0.4607230433
220	0.4604268983
221	0.4601964457
222	0.4598952826
223	0.4596261929
224	0.4593589834
225	0.459064768
226	0.4587881005
227	0.4585305519
228	0.4582780638
229	0.458015795
230	0.4578076708
231	0.4576321238
232	0.4573297553
233	0.4570415839
234	0.4567207219
235	0.4564431646
236	0.4562471548
237	0.4559984605
238	0.4557529199
239	0.455565545
240	0.455329077
241	0.4551066838
242	0.4548356539
243	0.4545917804
244	0.454366282
245	0.4541088841
246	0.4538562456
247	0.4534614391
248	0.4532860078
249	0.4531294594
250	0.4529635231
251	0.4527451259
252	0.4525339022
253	0.452174149
254	0.4520809914
255	0.4518615832
256	0.4517056821
257	0.4515047411
258	0.4512568643
259	0.4510025253
260	0.4507471106
261	0.4504886726
262	0.4502394684
263	0.4500567077
264	0.4497977806
265	0.4496083089
266	0.44934036
267	0.4491501492
268	0.4488239391
269	0.4486035308
270	0.4484215311
271	0.4481731201
272	0.4479050143
273	0.4476786988
274	0.4474714974
275	0.447149581
276	0.4469468407
277	0.4466995491
278	0.4464108867
279	0.4462353261
280	0.4460625923
281	0.4458618105
282	0.4455977412
283	0.4454054207
284	0.4451966616
285	0.4449968603
286	0.4448251625
287	0.4446225078
288	0.4443484802
289	0.4442354994
290	0.4440836241
291	0.4439793392
292	0.4437274401
293	0.4436002262
294	0.4433098811
295	0.4430974334
296	0.4429447136
297	0.4427314776
298	0.4425357486
299	0.4423520859
