iter	Logloss
0	0.6735019265
1	0.6563929328
2	0.6410445387
3	0.6295638276
4	0.6172879025
5	0.6086416702
6	0.6003167829
7	0.5936502277
8	0.5881914063
9	0.5840662549
10	0.579113312
11	0.5755093442
12	0.5716744175
13	0.5690064776
14	0.5662586886
15	0.5641808442
16	0.5622206118
17	0.5603362246
18	0.5584870567
19	0.5569106103
20	0.5551074249
21	0.5526758185
22	0.5515992797
23	0.5503854897
24	0.5484966042
25	0.5466742453
26	0.5458338866
27	0.544418443
28	0.5435609244
29	0.5423349677
30	0.5411530082
31	0.5404470848
32	0.5396673195
33	0.5386458323
34	0.5377998072
35	0.537006061
36	0.5355742625
37	0.5344698841
38	0.5334596751
39	0.5327729038
40	0.5315474511
41	0.5306088323
42	0.5298557553
43	0.5292401152
44	0.5288530711
45	0.5282568571
46	0.5278025
47	0.5273805275
48	0.5267459288
49	0.5258528954
50	0.5252706729
51	0.5247273355
52	0.5242569154
53	0.5237018126
54	0.5230803628
55	0.522667801
56	0.5221044092
57	0.5215690747
58	0.5210906188
59	0.5206416309
60	0.5201836787
61	0.5197102994
62	0.5188775497
63	0.5185233068
64	0.5182579913
65	0.5178414452
66	0.5174457213
67	0.5170428007
68	0.5167330106
69	0.5163360121
70	0.5160015412
71	0.5156687358
72	0.5152977738
73	0.5145643581
74	0.5142116836
75	0.513849303
76	0.5134950948
77	0.5130615484
78	0.5118982601
79	0.5111508514
80	0.5105540498
81	0.5101754969
82	0.5097345964
83	0.5089530009
84	0.5085868292
85	0.5079553647
86	0.5075979762
87	0.5073243213
88	0.5067722927
89	0.5065070978
90	0.5061369854
91	0.5058016337
92	0.5054171183
93	0.5051876737
94	0.5049093381
95	0.5045981979
96	0.5041037549
97	0.5037569454
98	0.5033536138
99	0.5030189802
100	0.5027425456
101	0.5023636401
102	0.5021017913
103	0.5015798179
104	0.5011782256
105	0.5008655243
106	0.5005897091
107	0.5002450705
108	0.4999153247
109	0.4993166774
110	0.4989100747
111	0.4985664906
112	0.4983226812
113	0.497640571
114	0.4973537027
115	0.4966018168
116	0.4962806318
117	0.4958989187
118	0.495345559
119	0.4949267512
120	0.4947167364
121	0.4944864543
122	0.4941879133
123	0.4937920986
124	0.4934846086
125	0.4927637325
126	0.4925683529
127	0.4921921255
128	0.4918990965
129	0.4916263716
130	0.4913460484
131	0.491057355
132	0.4907737419
133	0.4905787882
134	0.4902425039
135	0.4900177755
136	0.4897272466
137	0.4894641383
138	0.4892554087
139	0.4889777274
140	0.4886802215
141	0.4884172771
142	0.488127192
143	0.4878983624
144	0.4873103201
145	0.4871518899
146	0.4868646111
147	0.4865026797
148	0.486250729
149	0.4860547148
150	0.4857468202
151	0.4854767997
152	0.4853399035
153	0.4850511593
154	0.4847344779
155	0.4844544737
156	0.4842724681
157	0.483885889
158	0.4835782063
159	0.4831560911
160	0.4829453346
161	0.4825388291
162	0.4821655155
163	0.4820534234
164	0.4817368058
165	0.481517371
166	0.481303738
167	0.4809574377
168	0.4806223252
169	0.4802812461
170	0.4799620412
171	0.4797572442
172	0.4794799211
173	0.4791525827
174	0.4788745269
175	0.4785943554
176	0.4783591556
177	0.478159478
178	0.4778644712
179	0.4775648671
180	0.4773302969
181	0.4770648502
182	0.4767948219
183	0.476626456
184	0.4763792587
185	0.4762159288
186	0.4758742103
187	0.4755548881
188	0.475248476
189	0.4748975804
190	0.4745697199
191	0.4742325535
192	0.4739477954
193	0.4738013115
194	0.4735600061
195	0.4733501618
196	0.4731168206
197	0.4729779698
198	0.47276214
199	0.4725901205
200	0.4724777115
201	0.4721639992
202	0.4719819143
203	0.4717646892
204	0.471519056
205	0.471277115
206	0.4710275853
207	0.4708335748
208	0.4706072252
209	0.4703193453
210	0.4701049065
211	0.4698332023
212	0.4693504917
213	0.469190418
214	0.468968242
215	0.4686028196
216	0.4682645847
217	0.4679860019
218	0.4677351813
219	0.4675331162
220	0.467313576
221	0.4670779649
222	0.4668721864
223	0.4666034041
224	0.4663795101
225	0.4661425769
226	0.4658482613
227	0.4655761049
228	0.4654305956
229	0.465254485
230	0.4650569048
231	0.4648307082
232	0.4645172522
233	0.4642789619
234	0.4640167273
235	0.4637228747
236	0.463500146
237	0.4633391544
238	0.4630370176
239	0.4627916884
240	0.4625727686
241	0.4623770878
242	0.462075506
243	0.4617847527
244	0.4615141816
245	0.46120365
246	0.4610370536
247	0.4607380678
248	0.4604727465
249	0.4602560743
250	0.4600809903
251	0.4597186497
252	0.4595539425
253	0.4593411891
254	0.4590949858
255	0.4589056424
256	0.4587121149
257	0.4584776537
258	0.4583050314
259	0.4580493456
260	0.4578052046
261	0.4576054475
262	0.4574298536
263	0.4573418152
264	0.4571253407
265	0.4567455475
266	0.4565340762
267	0.4563642101
268	0.4560885912
269	0.4558831848
270	0.4556012416
271	0.455410647
272	0.4550558752
273	0.4547770562
274	0.4545531606
275	0.4543537439
276	0.4540977504
277	0.4538698739
278	0.4536577047
279	0.4535213967
280	0.4533326945
281	0.4530089037
282	0.4528526692
283	0.4526573634
284	0.4524563051
285	0.4522232197
286	0.4520350824
287	0.4518126792
288	0.451644155
289	0.4514582367
290	0.4511961423
291	0.4510014195
292	0.4508518994
293	0.4507236008
294	0.4505417678
295	0.4503592334
296	0.4501564965
297	0.4500065069
298	0.4498184242
299	0.4496650045
