iter	Passed	Remaining
0	11	3338
1	19	2916
2	30	3011
3	44	3263
4	55	3297
5	70	3439
6	80	3349
7	90	3288
8	101	3268
9	109	3189
10	118	3117
11	131	3167
12	142	3155
13	151	3092
14	159	3027
15	172	3055
16	181	3021
17	192	3021
18	202	3000
19	214	3006
20	223	2966
21	236	2984
22	252	3037
23	267	3077
24	284	3134
25	301	3177
26	318	3224
27	334	3246
28	349	3268
29	367	3311
30	383	3323
31	395	3315
32	409	3310
33	421	3295
34	432	3278
35	443	3252
36	459	3268
37	480	3311
38	497	3329
39	513	3339
40	524	3314
41	535	3287
42	547	3271
43	560	3261
44	574	3252
45	587	3243
46	600	3233
47	611	3210
48	625	3203
49	638	3193
50	653	3192
51	668	3189
52	686	3199
53	699	3186
54	712	3172
55	723	3151
56	737	3142
57	749	3129
58	761	3112
59	773	3093
60	787	3087
61	805	3092
62	820	3084
63	835	3080
64	850	3075
65	863	3062
66	876	3047
67	889	3034
68	903	3025
69	920	3023
70	933	3009
71	947	3001
72	960	2988
73	974	2974
74	985	2957
75	998	2944
76	1010	2925
77	1025	2917
78	1038	2905
79	1055	2902
80	1067	2887
81	1079	2869
82	1093	2859
83	1105	2843
84	1120	2835
85	1136	2829
86	1155	2828
87	1169	2818
88	1178	2793
89	1187	2771
90	1200	2757
91	1210	2736
92	1222	2720
93	1234	2704
94	1243	2684
95	1255	2668
96	1266	2651
97	1277	2634
98	1289	2619
99	1304	2609
100	1318	2597
101	1332	2586
102	1345	2573
103	1357	2559
104	1369	2542
105	1380	2526
106	1393	2512
107	1406	2501
108	1419	2486
109	1429	2468
110	1441	2453
111	1454	2440
112	1467	2427
113	1479	2413
114	1491	2399
115	1506	2389
116	1526	2386
117	1544	2381
118	1557	2369
119	1572	2358
120	1585	2346
121	1601	2335
122	1611	2319
123	1622	2303
124	1636	2291
125	1655	2285
126	1667	2271
127	1678	2255
128	1691	2242
129	1706	2231
130	1721	2221
131	1734	2207
132	1746	2192
133	1758	2178
134	1771	2165
135	1782	2148
136	1793	2133
137	1804	2118
138	1815	2103
139	1828	2089
140	1843	2079
141	1862	2072
142	1877	2061
143	1889	2047
144	1904	2035
145	1915	2020
146	1927	2005
147	1938	1991
148	1951	1978
149	1963	1963
150	1978	1951
151	1996	1943
152	2011	1932
153	2030	1925
154	2049	1917
155	2062	1903
156	2072	1887
157	2084	1873
158	2096	1858
159	2107	1844
160	2118	1829
161	2129	1814
162	2145	1803
163	2162	1792
164	2176	1780
165	2190	1768
166	2203	1755
167	2215	1740
168	2226	1725
169	2242	1714
170	2256	1702
171	2272	1691
172	2284	1677
173	2297	1664
174	2310	1650
175	2323	1637
176	2336	1623
177	2349	1610
178	2361	1596
179	2382	1588
180	2421	1591
181	2435	1578
182	2448	1565
183	2461	1551
184	2474	1538
185	2487	1524
186	2498	1509
187	2511	1496
188	2523	1482
189	2536	1468
190	2549	1454
191	2562	1441
192	2577	1428
193	2591	1415
194	2605	1403
195	2617	1388
196	2630	1375
197	2643	1361
198	2653	1346
199	2666	1333
200	2684	1322
201	2711	1315
202	2724	1301
203	2737	1288
204	2751	1274
205	2766	1262
206	2779	1248
207	2789	1233
208	2803	1220
209	2816	1206
210	2828	1192
211	2840	1179
212	2854	1165
213	2873	1154
214	2890	1142
215	2906	1130
216	2918	1116
217	2931	1102
218	2944	1088
219	2955	1074
220	2968	1061
221	2979	1047
222	2993	1033
223	3004	1019
224	3013	1004
225	3023	990
226	3033	975
227	3057	965
228	3078	954
229	3096	942
230	3110	928
231	3122	915
232	3132	900
233	3144	886
234	3157	873
235	3169	859
236	3190	848
237	3207	835
238	3239	826
239	3264	816
240	3283	803
241	3294	789
242	3303	775
243	3317	761
244	3331	747
245	3343	734
246	3358	720
247	3372	707
248	3386	693
249	3405	681
250	3422	668
251	3438	654
252	3451	641
253	3461	626
254	3478	613
255	3499	601
256	3516	588
257	3534	575
258	3545	561
259	3554	546
260	3567	533
261	3580	519
262	3589	505
263	3602	491
264	3617	477
265	3634	464
266	3653	451
267	3664	437
268	3677	423
269	3690	410
270	3703	396
271	3719	382
272	3735	369
273	3756	356
274	3770	342
275	3783	329
276	3796	315
277	3810	301
278	3824	287
279	3835	273
280	3849	260
281	3860	246
282	3868	232
283	3875	218
284	3881	204
285	3890	190
286	3902	176
287	3917	163
288	3939	149
289	3956	136
290	3970	122
291	3981	109
292	3994	95
293	4005	81
294	4018	68
295	4029	54
296	4042	40
297	4052	27
298	4064	13
299	4077	0
