iter	Passed	Remaining
0	10	3186
1	21	3259
2	33	3272
3	46	3405
4	61	3626
5	75	3714
6	93	3895
7	106	3899
8	118	3816
9	128	3713
10	135	3549
11	144	3457
12	156	3451
13	167	3413
14	178	3386
15	189	3362
16	198	3310
17	210	3291
18	220	3264
19	232	3250
20	242	3221
21	253	3198
22	264	3185
23	274	3160
24	284	3130
25	295	3110
26	304	3080
27	312	3038
28	322	3016
29	332	2994
30	341	2959
31	352	2953
32	362	2934
33	372	2916
34	382	2892
35	393	2886
36	411	2924
37	429	2963
38	445	2984
39	456	2966
40	468	2957
41	477	2934
42	490	2929
43	502	2924
44	514	2913
45	525	2901
46	534	2879
47	545	2864
48	553	2836
49	563	2818
50	574	2802
51	583	2781
52	593	2765
53	604	2752
54	614	2737
55	624	2720
56	634	2704
57	644	2689
58	652	2663
59	660	2642
60	668	2620
61	677	2598
62	684	2574
63	692	2555
64	699	2530
65	708	2513
66	717	2495
67	728	2484
68	736	2465
69	742	2439
70	752	2427
71	763	2418
72	775	2410
73	785	2398
74	793	2381
75	802	2365
76	812	2351
77	821	2338
78	842	2355
79	858	2360
80	871	2355
81	881	2343
82	892	2332
83	902	2320
84	912	2307
85	922	2296
86	933	2286
87	944	2274
88	954	2262
89	965	2251
90	973	2236
91	984	2224
92	993	2211
93	1004	2201
94	1013	2186
95	1023	2175
96	1034	2165
97	1044	2153
98	1053	2139
99	1063	2126
100	1073	2114
101	1084	2104
102	1096	2097
103	1108	2088
104	1118	2076
105	1128	2064
106	1136	2050
107	1148	2041
108	1158	2030
109	1169	2019
110	1179	2008
111	1190	1997
112	1199	1984
113	1211	1976
114	1229	1978
115	1242	1970
116	1253	1960
117	1264	1949
118	1275	1939
119	1286	1929
120	1296	1917
121	1304	1903
122	1317	1895
123	1329	1886
124	1341	1878
125	1353	1869
126	1365	1859
127	1376	1849
128	1387	1839
129	1398	1828
130	1409	1818
131	1420	1808
132	1431	1797
133	1443	1787
134	1453	1776
135	1460	1761
136	1469	1748
137	1478	1735
138	1488	1723
139	1499	1713
140	1509	1702
141	1519	1690
142	1529	1679
143	1540	1668
144	1551	1658
145	1562	1647
146	1571	1635
147	1582	1624
148	1593	1614
149	1603	1603
150	1613	1592
151	1623	1580
152	1633	1569
153	1643	1558
154	1653	1546
155	1664	1536
156	1674	1525
157	1686	1515
158	1697	1504
159	1708	1494
160	1717	1482
161	1727	1471
162	1737	1460
163	1744	1446
164	1753	1434
165	1761	1422
166	1769	1409
167	1778	1397
168	1787	1385
169	1794	1372
170	1802	1359
171	1810	1347
172	1820	1336
173	1829	1325
174	1842	1316
175	1855	1306
176	1878	1305
177	1889	1295
178	1898	1283
179	1909	1272
180	1920	1262
181	1930	1251
182	1940	1240
183	1951	1230
184	1964	1220
185	1975	1210
186	1987	1201
187	1997	1189
188	2008	1179
189	2018	1168
190	2029	1158
191	2038	1146
192	2048	1135
193	2058	1124
194	2067	1113
195	2078	1102
196	2089	1092
197	2100	1081
198	2110	1071
199	2119	1059
200	2129	1049
201	2140	1038
202	2150	1027
203	2160	1016
204	2170	1005
205	2180	995
206	2189	983
207	2198	972
208	2209	961
209	2218	950
210	2228	940
211	2239	929
212	2249	918
213	2259	908
214	2274	899
215	2290	890
216	2307	882
217	2316	871
218	2323	859
219	2332	848
220	2341	836
221	2349	825
222	2356	813
223	2364	802
224	2370	790
225	2379	779
226	2388	768
227	2399	757
228	2408	746
229	2419	736
230	2429	725
231	2438	714
232	2448	703
233	2460	693
234	2472	684
235	2483	673
236	2495	663
237	2505	652
238	2518	642
239	2531	632
240	2542	622
241	2553	612
242	2563	601
243	2574	590
244	2586	580
245	2597	570
246	2608	559
247	2619	549
248	2631	538
249	2643	528
250	2657	518
251	2673	509
252	2691	500
253	2703	489
254	2713	478
255	2725	468
256	2737	457
257	2748	447
258	2760	436
259	2771	426
260	2782	415
261	2794	405
262	2805	394
263	2816	384
264	2827	373
265	2838	362
266	2850	352
267	2861	341
268	2870	330
269	2882	320
270	2892	309
271	2901	298
272	2910	287
273	2919	277
274	2929	266
275	2944	256
276	2956	245
277	2970	235
278	2982	224
279	2994	213
280	3005	203
281	3016	192
282	3028	181
283	3039	171
284	3051	160
285	3061	149
286	3071	139
287	3082	128
288	3092	117
289	3104	107
290	3115	96
291	3127	85
292	3138	74
293	3150	64
294	3161	53
295	3175	42
296	3193	32
297	3209	21
298	3223	10
299	3233	0
