iter	Passed	Remaining
0	20	6226
1	43	6551
2	57	5696
3	75	5562
4	88	5250
5	104	5127
6	116	4870
7	132	4824
8	150	4873
9	169	4929
10	185	4881
11	205	4930
12	221	4894
13	236	4822
14	249	4742
15	264	4694
16	282	4698
17	302	4745
18	319	4725
19	330	4631
20	342	4548
21	352	4449
22	362	4367
23	372	4289
24	382	4202
25	392	4137
26	405	4096
27	417	4057
28	434	4057
29	452	4075
30	466	4049
31	479	4012
32	490	3965
33	503	3938
34	515	3899
35	528	3874
36	541	3849
37	553	3819
38	570	3818
39	586	3811
40	606	3830
41	618	3800
42	628	3757
43	640	3727
44	648	3676
45	662	3655
46	674	3628
47	684	3591
48	696	3567
49	714	3573
50	730	3564
51	749	3576
52	762	3555
53	775	3535
54	787	3509
55	803	3502
56	820	3499
57	838	3498
58	852	3481
59	866	3467
60	881	3451
61	892	3426
62	909	3421
63	925	3412
64	942	3407
65	1033	3663
66	1084	3772
67	1101	3759
68	1116	3738
69	1134	3728
70	1153	3719
71	1170	3706
72	1188	3696
73	1202	3673
74	1215	3647
75	1230	3625
76	1247	3614
77	1267	3608
78	1285	3597
79	1304	3588
80	1324	3579
81	1338	3557
82	1348	3524
83	1365	3510
84	1377	3484
85	1389	3457
86	1402	3432
87	1415	3409
88	1426	3382
89	1443	3368
90	1459	3351
91	1475	3334
92	1487	3310
93	1500	3288
94	1512	3264
95	1524	3238
96	1540	3224
97	1553	3202
98	1566	3180
99	1581	3162
100	1596	3146
101	1612	3129
102	1625	3108
103	1637	3086
104	1650	3065
105	1663	3044
106	1677	3024
107	1688	3001
108	1702	2982
109	1721	2973
110	1741	2965
111	1756	2947
112	1769	2928
113	1782	2908
114	1797	2890
115	1809	2869
116	1823	2851
117	1837	2834
118	1851	2816
119	1869	2803
120	1886	2790
121	1901	2774
122	1915	2756
123	1929	2738
124	1944	2722
125	1961	2709
126	1973	2688
127	1986	2669
128	2005	2658
129	2024	2647
130	2039	2631
131	2055	2615
132	2068	2597
133	2082	2580
134	2096	2562
135	2112	2547
136	2127	2531
137	2144	2517
138	2161	2503
139	2181	2493
140	2199	2480
141	2214	2463
142	2227	2445
143	2245	2432
144	2264	2420
145	2281	2406
146	2298	2392
147	2315	2378
148	2331	2362
149	2346	2346
150	2359	2327
151	2370	2308
152	2387	2294
153	2403	2279
154	2418	2262
155	2432	2245
156	2445	2227
157	2456	2207
158	2469	2190
159	2483	2173
160	2497	2156
161	2512	2140
162	2528	2124
163	2541	2107
164	2552	2088
165	2564	2070
166	2579	2054
167	2595	2038
168	2605	2019
169	2612	1997
170	2622	1978
171	2633	1959
172	2646	1943
173	2658	1924
174	2671	1908
175	2683	1890
176	2696	1874
177	2709	1857
178	2723	1841
179	2740	1826
180	2758	1813
181	2775	1799
182	2787	1782
183	2801	1766
184	2818	1751
185	2835	1737
186	2850	1722
187	2865	1707
188	2879	1690
189	2893	1674
190	2907	1659
191	2922	1643
192	2937	1628
193	2977	1626
194	2994	1612
195	3012	1598
196	3035	1587
197	3053	1573
198	3069	1557
199	3087	1543
200	3106	1530
201	3128	1517
202	3149	1505
203	3167	1490
204	3186	1476
205	3198	1459
206	3213	1443
207	3227	1427
208	3246	1413
209	3258	1396
210	3271	1380
211	3284	1363
212	3303	1349
213	3319	1334
214	3337	1319
215	3352	1303
216	3362	1286
217	3376	1270
218	3390	1254
219	3404	1237
220	3415	1220
221	3428	1204
222	3440	1188
223	3452	1171
224	3464	1154
225	3476	1138
226	3488	1121
227	3501	1105
228	3514	1089
229	3526	1073
230	3541	1057
231	3555	1042
232	3570	1026
233	3595	1014
234	3612	999
235	3626	983
236	3640	967
237	3652	951
238	3666	935
239	3683	920
240	3702	906
241	3717	891
242	3733	875
243	3745	859
244	3758	843
245	3771	827
246	3788	812
247	3809	798
248	3830	784
249	3846	769
250	3863	754
251	3875	738
252	3889	722
253	3902	706
254	3915	690
255	3931	675
256	3947	660
257	3966	645
258	3982	630
259	3997	614
260	4025	601
261	4043	586
262	4060	571
263	4075	555
264	4092	540
265	4109	525
266	4131	510
267	4229	505
268	4259	490
269	4275	475
270	4308	461
271	4322	444
272	4334	428
273	4346	412
274	4357	396
275	4369	379
276	4382	363
277	4397	348
278	4416	332
279	4435	316
280	4452	301
281	4467	285
282	4481	269
283	4497	253
284	4515	237
285	4528	221
286	4541	205
287	4554	189
288	4569	173
289	4584	158
290	4596	142
291	4611	126
292	4627	110
293	4657	95
294	4678	79
295	4692	63
296	4710	47
297	4727	31
298	4745	15
299	4762	0
