iter	Logloss
0	0.6745991448
1	0.653928561
2	0.6407177411
3	0.6286521496
4	0.6178111328
5	0.6090666154
6	0.6022525546
7	0.5948543023
8	0.590445603
9	0.5853660269
10	0.5808062381
11	0.5766729165
12	0.5734451908
13	0.5705420433
14	0.5675204274
15	0.5652674869
16	0.562392885
17	0.5605246592
18	0.5582830116
19	0.5567429167
20	0.555313599
21	0.5537541544
22	0.5522357694
23	0.5508638525
24	0.5494031708
25	0.5483371301
26	0.5464999859
27	0.5455109731
28	0.5442289578
29	0.5426197077
30	0.5416046538
31	0.5410541698
32	0.5399421421
33	0.5392058785
34	0.5384662102
35	0.5378327804
36	0.5369017759
37	0.5363166184
38	0.5344462629
39	0.533481589
40	0.5326956869
41	0.5298883067
42	0.5290469723
43	0.528516436
44	0.5279064517
45	0.5266456445
46	0.5258386849
47	0.5253755699
48	0.5249196699
49	0.5243630204
50	0.5237970552
51	0.5233045135
52	0.5227460721
53	0.5221943173
54	0.5217496051
55	0.5213402077
56	0.5206448202
57	0.5195642992
58	0.5191701629
59	0.5185957942
60	0.5181913768
61	0.5177421369
62	0.5173231842
63	0.5168497654
64	0.5162025772
65	0.5157574639
66	0.5150666715
67	0.5147200464
68	0.5142825893
69	0.5139124641
70	0.5135579784
71	0.5130980707
72	0.5127625843
73	0.5121360301
74	0.5116507783
75	0.5111756631
76	0.5103374096
77	0.5099945459
78	0.5094843825
79	0.5091249936
80	0.5088557541
81	0.5080903851
82	0.5077139446
83	0.5072497149
84	0.5068522834
85	0.5062794578
86	0.5057961806
87	0.5052820881
88	0.5049613856
89	0.50461522
90	0.5039837579
91	0.5034169241
92	0.5030370375
93	0.5026716242
94	0.5021498851
95	0.5018032619
96	0.5014761565
97	0.5011107325
98	0.5008436593
99	0.5005992398
100	0.499919317
101	0.499558426
102	0.4992071101
103	0.4984873353
104	0.4981857215
105	0.4976974935
106	0.4972245305
107	0.4968336091
108	0.4964717295
109	0.4959896411
110	0.4956568371
111	0.4952984216
112	0.4947127174
113	0.4943049234
114	0.4938737486
115	0.4932531639
116	0.4925096092
117	0.4921473959
118	0.4914410053
119	0.4906425189
120	0.4900715884
121	0.4897547255
122	0.4893057811
123	0.4889306561
124	0.4885584842
125	0.4881808623
126	0.4878658096
127	0.4875385041
128	0.4871349251
129	0.4867379614
130	0.4863311357
131	0.4857829021
132	0.4854272284
133	0.4850335903
134	0.4846940538
135	0.4843388348
136	0.484008213
137	0.4833920095
138	0.4830793002
139	0.4827431852
140	0.4824018752
141	0.4820472216
142	0.4816565609
143	0.4813000373
144	0.4809207324
145	0.4805257322
146	0.480149291
147	0.4798038224
148	0.4794368732
149	0.4790774512
150	0.4787525355
151	0.4783412141
152	0.477976837
153	0.4776396615
154	0.4772573497
155	0.4769238678
156	0.4765531751
157	0.4761878986
158	0.4757196157
159	0.4753029152
160	0.4750703456
161	0.4747410174
162	0.4743715308
163	0.4740368081
164	0.4736791083
165	0.473329303
166	0.4729018129
167	0.4725705635
168	0.4722451544
169	0.4718859884
170	0.4716737834
171	0.4713389714
172	0.4710096255
173	0.4706697843
174	0.4703051895
175	0.4700165979
176	0.4696664681
177	0.4694106929
178	0.4690409793
179	0.4682101523
180	0.4678445442
181	0.4674745055
182	0.4671571968
183	0.4668300713
184	0.4664921731
185	0.4661665717
186	0.4658130556
187	0.4654955584
188	0.465273271
189	0.4649919514
190	0.4647555268
191	0.4644190284
192	0.4640345232
193	0.4637290127
194	0.4634654986
195	0.4632316013
196	0.4627755142
197	0.4625041101
198	0.4622446942
199	0.461758869
200	0.4614313213
201	0.4611184145
202	0.4608365752
203	0.4605076087
204	0.4602555448
205	0.459930411
206	0.4596296858
207	0.4594378061
208	0.4590633959
209	0.458862852
210	0.4586437229
211	0.4583386804
212	0.4581667349
213	0.4578320657
214	0.4574696278
215	0.457118583
216	0.4569126029
217	0.4567038038
218	0.4564020523
219	0.4561033672
220	0.455862913
221	0.4554840773
222	0.4551920712
223	0.4548809143
224	0.4546470893
225	0.454390951
226	0.4540828221
227	0.4537603149
228	0.4534709204
229	0.4531528434
230	0.4528824362
231	0.4526501363
232	0.4524654557
233	0.4521783006
234	0.4519039548
235	0.4516181416
236	0.4512844173
237	0.4510345443
238	0.4507668461
239	0.4505567762
240	0.4501181509
241	0.4497868911
242	0.4495771518
243	0.4494062068
244	0.4491608407
245	0.4489304375
246	0.4486935699
247	0.4483603555
248	0.4480897401
249	0.4478630392
250	0.4476095265
251	0.4473099499
252	0.447108082
253	0.4468122117
254	0.4465110221
255	0.4462143166
256	0.4459594254
257	0.4457679309
258	0.4455945233
259	0.4452860558
260	0.4450102314
261	0.4447470965
262	0.4445294524
263	0.444247954
264	0.4439462075
265	0.4436389952
266	0.4433244013
267	0.4430464045
268	0.4428759458
269	0.4425751062
270	0.4423445222
271	0.4421350662
272	0.441908259
273	0.4417057477
274	0.4414743355
275	0.4412347169
276	0.4410060815
277	0.4408351629
278	0.4406000792
279	0.4404222185
280	0.4402699641
281	0.4399836934
282	0.4397333405
283	0.4394435611
284	0.439106103
285	0.4389409428
286	0.4386738116
287	0.438414127
288	0.438284049
289	0.4380280104
290	0.4377610374
291	0.4375041779
292	0.4372724446
293	0.4370472689
294	0.4368361567
295	0.4366256649
296	0.4363524913
297	0.4359819239
298	0.4357686757
299	0.435552753
