iter	Passed	Remaining
0	10	3170
1	21	3186
2	33	3291
3	43	3208
4	55	3267
5	64	3173
6	76	3208
7	87	3185
8	95	3093
9	104	3018
10	114	3005
11	125	3007
12	134	2975
13	144	2954
14	155	2946
15	163	2910
16	175	2921
17	184	2885
18	194	2870
19	203	2852
20	214	2856
21	225	2847
22	235	2837
23	244	2806
24	254	2795
25	264	2782
26	274	2771
27	284	2766
28	297	2783
29	316	2845
30	333	2891
31	346	2901
32	357	2893
33	368	2886
34	379	2873
35	389	2857
36	398	2835
37	408	2816
38	419	2806
39	430	2797
40	441	2788
41	450	2767
42	461	2758
43	471	2742
44	481	2730
45	490	2706
46	500	2696
47	510	2678
48	521	2671
49	532	2660
50	543	2651
51	554	2644
52	565	2636
53	576	2624
54	590	2630
55	605	2640
56	622	2652
57	632	2637
58	642	2624
59	652	2608
60	662	2594
61	672	2581
62	683	2570
63	693	2557
64	705	2549
65	713	2529
66	722	2510
67	732	2497
68	742	2486
69	757	2488
70	769	2483
71	780	2470
72	789	2456
73	799	2442
74	809	2429
75	823	2426
76	841	2435
77	859	2446
78	875	2449
79	886	2437
80	896	2424
81	905	2407
82	912	2386
83	921	2370
84	931	2356
85	941	2342
86	950	2327
87	962	2317
88	973	2307
89	982	2292
90	993	2281
91	1001	2264
92	1012	2252
93	1022	2241
94	1033	2230
95	1045	2221
96	1058	2214
97	1081	2230
98	1117	2269
99	1134	2268
100	1147	2260
101	1158	2248
102	1171	2241
103	1182	2227
104	1192	2214
105	1203	2202
106	1213	2188
107	1223	2175
108	1234	2162
109	1245	2152
110	1256	2139
111	1267	2127
112	1277	2113
113	1286	2099
114	1297	2087
115	1309	2076
116	1317	2060
117	1328	2048
118	1338	2036
119	1360	2040
120	1397	2067
121	1406	2052
122	1417	2039
123	1430	2029
124	1441	2018
125	1452	2005
126	1463	1993
127	1476	1984
128	1487	1971
129	1499	1961
130	1510	1948
131	1520	1934
132	1532	1923
133	1543	1912
134	1554	1899
135	1565	1887
136	1577	1877
137	1587	1863
138	1600	1853
139	1612	1842
140	1624	1832
141	1637	1821
142	1648	1810
143	1659	1797
144	1667	1782
145	1675	1767
146	1686	1754
147	1697	1742
148	1708	1731
149	1718	1718
150	1728	1705
151	1749	1703
152	1763	1694
153	1776	1683
154	1786	1671
155	1797	1659
156	1807	1646
157	1816	1632
158	1827	1620
159	1838	1608
160	1849	1596
161	1857	1582
162	1867	1569
163	1877	1557
164	1888	1545
165	1898	1532
166	1910	1521
167	1921	1510
168	1931	1497
169	1940	1484
170	1949	1470
171	1958	1457
172	1969	1445
173	1980	1434
174	1992	1423
175	2001	1410
176	2012	1398
177	2023	1386
178	2039	1378
179	2055	1370
180	2070	1361
181	2081	1349
182	2092	1337
183	2100	1324
184	2111	1312
185	2120	1299
186	2131	1287
187	2140	1275
188	2151	1263
189	2162	1251
190	2172	1239
191	2183	1228
192	2193	1215
193	2200	1202
194	2211	1190
195	2221	1178
196	2232	1167
197	2243	1155
198	2252	1143
199	2263	1131
200	2279	1122
201	2290	1111
202	2309	1103
203	2319	1091
204	2330	1079
205	2341	1068
206	2351	1056
207	2361	1044
208	2371	1032
209	2379	1019
210	2390	1008
211	2402	997
212	2415	986
213	2425	974
214	2435	962
215	2446	951
216	2455	939
217	2465	927
218	2474	915
219	2482	902
220	2493	891
221	2503	879
222	2522	871
223	2537	861
224	2551	850
225	2561	838
226	2569	826
227	2579	814
228	2587	802
229	2598	790
230	2609	779
231	2619	767
232	2630	756
233	2641	744
234	2652	733
235	2663	722
236	2671	710
237	2681	698
238	2692	687
239	2704	676
240	2715	664
241	2727	653
242	2741	642
243	2751	631
244	2763	620
245	2775	609
246	2787	598
247	2803	587
248	2839	581
249	2851	570
250	2864	559
251	2876	547
252	2887	536
253	2897	524
254	2904	512
255	2916	501
256	2928	489
257	2939	478
258	2949	466
259	2960	455
260	2971	444
261	2981	432
262	2989	420
263	2999	409
264	3010	397
265	3021	386
266	3031	374
267	3043	363
268	3053	351
269	3061	340
270	3070	328
271	3082	317
272	3094	306
273	3105	294
274	3116	283
275	3135	272
276	3157	262
277	3173	251
278	3184	239
279	3196	228
280	3207	216
281	3218	205
282	3229	193
283	3239	182
284	3250	171
285	3261	159
286	3272	148
287	3284	136
288	3294	125
289	3304	113
290	3315	102
291	3326	91
292	3338	79
293	3350	68
294	3360	56
295	3371	45
296	3380	34
297	3392	22
298	3404	11
299	3415	0
