iter	Passed	Remaining
0	11	3399
1	24	3596
2	35	3558
3	48	3563
4	60	3556
5	72	3568
6	84	3533
7	95	3469
8	119	3854
9	143	4170
10	153	4033
11	164	3943
12	174	3854
13	186	3805
14	197	3747
15	207	3675
16	217	3616
17	226	3551
18	236	3501
19	245	3437
20	255	3390
21	267	3380
22	280	3372
23	291	3352
24	303	3339
25	315	3321
26	326	3305
27	336	3267
28	346	3240
29	357	3215
30	366	3179
31	378	3173
32	388	3144
33	399	3122
34	408	3090
35	416	3057
36	426	3030
37	436	3010
38	447	2995
39	457	2974
40	468	2961
41	479	2943
42	503	3011
43	517	3012
44	531	3009
45	542	2994
46	553	2978
47	562	2952
48	571	2929
49	579	2897
50	590	2881
51	600	2861
52	609	2838
53	618	2817
54	628	2798
55	637	2777
56	647	2759
57	657	2743
58	668	2731
59	679	2718
60	692	2714
61	704	2705
62	717	2697
63	727	2682
64	737	2666
65	747	2649
66	756	2632
67	766	2613
68	778	2607
69	793	2605
70	807	2605
71	821	2600
72	832	2589
73	842	2572
74	851	2554
75	861	2539
76	871	2523
77	880	2505
78	891	2494
79	902	2481
80	913	2469
81	924	2457
82	934	2444
83	946	2434
84	956	2420
85	965	2403
86	976	2389
87	984	2371
88	991	2351
89	1000	2335
90	1014	2330
91	1027	2323
92	1040	2317
93	1054	2310
94	1065	2298
95	1075	2285
96	1086	2274
97	1098	2264
98	1109	2253
99	1121	2243
100	1133	2233
101	1144	2220
102	1154	2207
103	1165	2197
104	1176	2185
105	1187	2172
106	1197	2160
107	1209	2149
108	1217	2134
109	1228	2121
110	1238	2108
111	1248	2095
112	1257	2081
113	1267	2068
114	1278	2056
115	1290	2046
116	1300	2033
117	1318	2034
118	1341	2040
119	1354	2032
120	1367	2023
121	1379	2012
122	1388	1998
123	1400	1987
124	1409	1973
125	1418	1959
126	1427	1944
127	1437	1932
128	1447	1918
129	1457	1905
130	1466	1892
131	1477	1880
132	1487	1867
133	1497	1854
134	1507	1842
135	1518	1830
136	1525	1815
137	1538	1806
138	1551	1797
139	1564	1788
140	1576	1777
141	1590	1769
142	1604	1761
143	1618	1753
144	1631	1743
145	1641	1731
146	1649	1717
147	1658	1703
148	1668	1691
149	1676	1676
150	1682	1660
151	1689	1645
152	1696	1630
153	1704	1615
154	1711	1600
155	1720	1587
156	1729	1575
157	1736	1561
158	1747	1549
159	1758	1538
160	1770	1528
161	1781	1517
162	1791	1506
163	1803	1495
164	1814	1484
165	1825	1473
166	1833	1460
167	1842	1447
168	1850	1434
169	1861	1423
170	1870	1411
171	1888	1405
172	1903	1397
173	1913	1385
174	1926	1376
175	1938	1365
176	1953	1357
177	1967	1348
178	1980	1339
179	1992	1328
180	2004	1317
181	2014	1306
182	2023	1293
183	2035	1283
184	2046	1271
185	2056	1260
186	2067	1249
187	2078	1238
188	2088	1226
189	2099	1215
190	2110	1204
191	2123	1194
192	2136	1184
193	2149	1174
194	2164	1165
195	2178	1156
196	2192	1146
197	2205	1136
198	2217	1125
199	2229	1114
200	2241	1104
201	2252	1092
202	2263	1081
203	2273	1069
204	2284	1058
205	2294	1046
206	2302	1034
207	2310	1022
208	2320	1010
209	2332	999
210	2344	988
211	2355	977
212	2363	965
213	2372	953
214	2385	943
215	2397	932
216	2410	922
217	2422	911
218	2433	900
219	2444	888
220	2459	879
221	2470	868
222	2484	857
223	2501	848
224	2512	837
225	2521	825
226	2530	813
227	2541	802
228	2551	791
229	2561	779
230	2572	768
231	2581	756
232	2590	744
233	2599	733
234	2607	721
235	2620	710
236	2632	699
237	2644	688
238	2656	678
239	2667	666
240	2678	655
241	2689	644
242	2701	633
243	2710	622
244	2721	611
245	2730	599
246	2740	587
247	2749	576
248	2760	565
249	2770	554
250	2780	542
251	2791	531
252	2806	521
253	2818	510
254	2833	500
255	2845	488
256	2855	477
257	2867	466
258	2878	455
259	2890	444
260	2901	433
261	2911	422
262	2922	411
263	2932	399
264	2943	388
265	2955	377
266	2966	366
267	2973	355
268	2983	343
269	2993	332
270	3003	321
271	3015	310
272	3027	299
273	3051	289
274	3068	278
275	3079	267
276	3090	256
277	3102	245
278	3114	234
279	3126	223
280	3137	212
281	3148	200
282	3158	189
283	3167	178
284	3179	167
285	3189	156
286	3201	145
287	3212	133
288	3221	122
289	3232	111
290	3242	100
291	3253	89
292	3264	78
293	3275	66
294	3287	55
295	3300	44
296	3310	33
297	3323	22
298	3333	11
299	3344	0
