iter	Passed	Remaining
0	8	2685
1	17	2638
2	28	2835
3	38	2841
4	47	2800
5	58	2887
6	69	2918
7	79	2912
8	89	2894
9	99	2876
10	109	2864
11	119	2863
12	129	2865
13	138	2830
14	149	2836
15	159	2835
16	168	2806
17	178	2802
18	188	2789
19	200	2802
20	226	3013
21	239	3026
22	253	3056
23	263	3029
24	272	2999
25	280	2958
26	288	2917
27	297	2893
28	305	2856
29	314	2826
30	323	2805
31	331	2776
32	340	2757
33	348	2728
34	356	2701
35	364	2673
36	375	2667
37	382	2638
38	391	2620
39	400	2603
40	408	2580
41	417	2563
42	423	2533
43	432	2513
44	439	2488
45	447	2471
46	456	2458
47	463	2435
48	472	2417
49	479	2397
50	487	2381
51	497	2371
52	504	2353
53	512	2336
54	522	2328
55	531	2315
56	541	2308
57	549	2292
58	558	2280
59	567	2268
60	574	2251
61	583	2240
62	593	2231
63	605	2233
64	618	2236
65	632	2241
66	642	2234
67	652	2224
68	661	2215
69	671	2205
70	678	2187
71	687	2175
72	696	2164
73	705	2154
74	713	2140
75	720	2124
76	727	2107
77	735	2092
78	742	2078
79	750	2063
80	757	2048
81	764	2033
82	771	2018
83	778	2001
84	785	1986
85	792	1971
86	801	1962
87	811	1953
88	820	1945
89	830	1937
90	842	1936
91	856	1935
92	868	1932
93	885	1940
94	892	1926
95	903	1919
96	911	1907
97	920	1898
98	930	1888
99	939	1879
100	948	1867
101	957	1858
102	965	1846
103	973	1835
104	982	1825
105	993	1817
106	1002	1808
107	1009	1794
108	1018	1785
109	1028	1776
110	1037	1766
111	1047	1757
112	1055	1746
113	1064	1737
114	1074	1729
115	1081	1716
116	1090	1705
117	1099	1695
118	1108	1686
119	1119	1678
120	1129	1670
121	1139	1662
122	1149	1653
123	1158	1643
124	1167	1633
125	1176	1624
126	1183	1612
127	1190	1599
128	1199	1590
129	1209	1581
130	1221	1575
131	1237	1574
132	1249	1568
133	1263	1565
134	1274	1558
135	1286	1551
136	1296	1542
137	1307	1534
138	1317	1526
139	1330	1520
140	1342	1513
141	1354	1506
142	1364	1497
143	1378	1493
144	1390	1486
145	1402	1479
146	1417	1474
147	1435	1474
148	1450	1470
149	1463	1463
150	1474	1454
151	1485	1446
152	1496	1437
153	1508	1429
154	1520	1422
155	1533	1415
156	1544	1407
157	1554	1397
158	1567	1389
159	1578	1380
160	1588	1371
161	1598	1361
162	1610	1353
163	1625	1347
164	1639	1341
165	1652	1333
166	1663	1324
167	1674	1315
168	1686	1307
169	1697	1298
170	1709	1289
171	1719	1279
172	1730	1270
173	1741	1260
174	1752	1252
175	1764	1243
176	1776	1234
177	1787	1225
178	1800	1217
179	1815	1210
180	1832	1204
181	1842	1194
182	1854	1185
183	1865	1175
184	1874	1165
185	1884	1154
186	1892	1143
187	1901	1132
188	1908	1120
189	1917	1110
190	1927	1100
191	1936	1089
192	1946	1079
193	1956	1068
194	1966	1058
195	1976	1048
196	1987	1038
197	1998	1029
198	2007	1019
199	2016	1008
200	2025	997
201	2047	993
202	2062	985
203	2077	977
204	2089	968
205	2099	958
206	2110	948
207	2121	938
208	2131	928
209	2141	917
210	2153	908
211	2167	899
212	2181	891
213	2193	881
214	2204	871
215	2215	861
216	2227	852
217	2238	841
218	2247	831
219	2256	820
220	2266	810
221	2281	801
222	2295	792
223	2308	783
224	2320	773
225	2329	762
226	2338	752
227	2348	741
228	2360	731
229	2369	721
230	2380	710
231	2391	700
232	2402	690
233	2411	680
234	2422	670
235	2430	659
236	2439	648
237	2447	637
238	2453	626
239	2460	615
240	2478	606
241	2499	599
242	2512	589
243	2523	579
244	2534	568
245	2544	558
246	2554	548
247	2564	537
248	2575	527
249	2586	517
250	2596	506
251	2606	496
252	2617	486
253	2627	475
254	2637	465
255	2649	455
256	2661	445
257	2672	435
258	2683	424
259	2694	414
260	2705	404
261	2717	394
262	2729	384
263	2741	373
264	2753	363
265	2765	353
266	2777	343
267	2789	333
268	2802	322
269	2818	313
270	2837	303
271	2847	293
272	2858	282
273	2871	272
274	2884	262
275	2897	251
276	2909	241
277	2922	231
278	2936	221
279	2948	210
280	2960	200
281	2971	189
282	2983	179
283	2997	168
284	3013	158
285	3033	148
286	3048	138
287	3058	127
288	3069	116
289	3079	106
290	3092	95
291	3104	85
292	3113	74
293	3124	63
294	3135	53
295	3146	42
296	3157	31
297	3169	21
298	3182	10
299	3196	0
