iter	Logloss
0	0.6738047062
1	0.6557486923
2	0.6428848065
3	0.6301139903
4	0.6192635722
5	0.6111014478
6	0.6032365545
7	0.5964417589
8	0.5896586104
9	0.5843237882
10	0.5805353001
11	0.5760859038
12	0.5725119388
13	0.5688509166
14	0.5668114459
15	0.5647393001
16	0.5629533551
17	0.5611087765
18	0.5594166321
19	0.5572672179
20	0.5555313732
21	0.5540448005
22	0.5527421965
23	0.5502427765
24	0.5486506598
25	0.547263284
26	0.5458622378
27	0.5448349385
28	0.5438687781
29	0.5428020176
30	0.5419920373
31	0.540487919
32	0.5396518751
33	0.5386820472
34	0.5377567464
35	0.5362908666
36	0.5356875495
37	0.5344178361
38	0.5334699349
39	0.5328041142
40	0.5321042913
41	0.5315161655
42	0.5310773703
43	0.5304403416
44	0.5299611057
45	0.5293932264
46	0.5287374881
47	0.528254821
48	0.5272125381
49	0.5267900672
50	0.5261356035
51	0.5256562494
52	0.5249495701
53	0.524444465
54	0.5234168103
55	0.5227298629
56	0.5223451867
57	0.5218109704
58	0.5211652007
59	0.5207393961
60	0.5203339585
61	0.519917645
62	0.5195271462
63	0.5191064408
64	0.5186357886
65	0.5181377522
66	0.5177099444
67	0.5173812443
68	0.5170250067
69	0.5166454144
70	0.5161942939
71	0.5156943661
72	0.5152066182
73	0.514739794
74	0.5143237128
75	0.5139550152
76	0.5133292089
77	0.5128968608
78	0.5122356051
79	0.5115410322
80	0.5110476362
81	0.5107100387
82	0.5103339417
83	0.5099951303
84	0.509625539
85	0.5091862641
86	0.50881674
87	0.5085306128
88	0.5079441698
89	0.5076164918
90	0.5072711747
91	0.5069252672
92	0.506654733
93	0.5063068888
94	0.5059140115
95	0.5055607943
96	0.5049244295
97	0.5045349058
98	0.5042269286
99	0.5039385768
100	0.5035321349
101	0.5031541806
102	0.5028191772
103	0.5023888876
104	0.5021678762
105	0.5017387708
106	0.5013914548
107	0.5009893568
108	0.5006848505
109	0.5002703793
110	0.4999810504
111	0.4989765461
112	0.4986211223
113	0.4983188555
114	0.4979801118
115	0.4976342792
116	0.4972673235
117	0.4969474669
118	0.4966490134
119	0.4963707484
120	0.4959494435
121	0.4954615251
122	0.494931765
123	0.4944783979
124	0.494159121
125	0.4940059264
126	0.4936537931
127	0.4932285246
128	0.4929751076
129	0.4926298748
130	0.4922872453
131	0.4920061077
132	0.491491312
133	0.4911329379
134	0.4908222756
135	0.4904535322
136	0.4900942249
137	0.4897680552
138	0.4894514611
139	0.4891635707
140	0.488882756
141	0.4885794899
142	0.4881880485
143	0.4876525545
144	0.4873474387
145	0.4870512619
146	0.4868139046
147	0.4865188938
148	0.4860508062
149	0.4857757741
150	0.4855463404
151	0.4853383712
152	0.4849367344
153	0.4844874219
154	0.4838005445
155	0.483468188
156	0.4832048485
157	0.4828267311
158	0.4825631439
159	0.4822220716
160	0.4819746938
161	0.4816336357
162	0.4813093577
163	0.4810507443
164	0.4808506191
165	0.4806145729
166	0.4802830977
167	0.4800392599
168	0.4797375456
169	0.4794905347
170	0.4791443458
171	0.478866481
172	0.4785369798
173	0.4783702814
174	0.4781224535
175	0.4779616131
176	0.4777733158
177	0.4775128475
178	0.4772869362
179	0.4769707713
180	0.4766866666
181	0.4763701273
182	0.4761214787
183	0.4758700277
184	0.4757125336
185	0.4755105023
186	0.4752387483
187	0.4749427684
188	0.4747213453
189	0.4744672781
190	0.4742479099
191	0.4738781781
192	0.4736026366
193	0.4733358227
194	0.4731200141
195	0.4728873407
196	0.4725297293
197	0.472272556
198	0.4719326174
199	0.4716810038
200	0.4714470258
201	0.4712407314
202	0.4709709555
203	0.4707695423
204	0.470500119
205	0.4703109508
206	0.4701321101
207	0.4696747175
208	0.4694742363
209	0.4691120379
210	0.4687655789
211	0.4686040649
212	0.4684772157
213	0.4682976893
214	0.4681047977
215	0.4677240192
216	0.4674275967
217	0.4671056119
218	0.4668779728
219	0.4665888167
220	0.4663697684
221	0.4661047744
222	0.4657939209
223	0.4655865354
224	0.4652896705
225	0.4651328991
226	0.464844489
227	0.4646042965
228	0.4644305021
229	0.4641738946
230	0.4639671445
231	0.4637548083
232	0.4634584093
233	0.4632204761
234	0.462889972
235	0.4625774427
236	0.4622537841
237	0.4620142577
238	0.4618117344
239	0.4615972722
240	0.4610469025
241	0.4608437594
242	0.4605819738
243	0.4603005406
244	0.4600490729
245	0.4597368551
246	0.4594173157
247	0.4592338307
248	0.4589321138
249	0.4587061827
250	0.4584641725
251	0.4582262034
252	0.4578476509
253	0.4576906908
254	0.4575218077
255	0.4573159188
256	0.4570791452
257	0.4569167606
258	0.4567310256
259	0.4565702682
260	0.4563474193
261	0.4561333209
262	0.4558582537
263	0.4555695356
264	0.4553157892
265	0.4550911709
266	0.454916671
267	0.4547078072
268	0.4544973776
269	0.4542286199
270	0.4539829177
271	0.4537339979
272	0.4535377901
273	0.45323954
274	0.453061066
275	0.4528990834
276	0.4527366623
277	0.4524186216
278	0.4521478497
279	0.4519290101
280	0.4516946643
281	0.4515064731
282	0.4512368429
283	0.451017923
284	0.4508002645
285	0.4505914816
286	0.4504010457
287	0.4502270719
288	0.4499418055
289	0.4496322923
290	0.4494259511
291	0.4491469207
292	0.4488616607
293	0.4487267803
294	0.4485032317
295	0.4482764245
296	0.4480097482
297	0.4477972762
298	0.4475749008
299	0.4473250657
