iter	Passed	Remaining
0	12	3594
1	22	3324
2	33	3332
3	45	3397
4	65	3864
5	78	3869
6	93	3916
7	108	3960
8	118	3843
9	130	3792
10	143	3774
11	157	3781
12	180	3988
13	191	3918
14	206	3926
15	230	4090
16	251	4182
17	265	4157
18	278	4121
19	292	4089
20	309	4114
21	323	4092
22	335	4044
23	353	4066
24	367	4040
25	385	4065
26	399	4039
27	411	3993
28	421	3942
29	433	3897
30	443	3847
31	453	3795
32	465	3762
33	479	3753
34	494	3743
35	508	3730
36	521	3709
37	532	3668
38	543	3637
39	561	3650
40	576	3639
41	588	3612
42	600	3588
43	612	3563
44	620	3518
45	633	3497
46	646	3479
47	661	3471
48	673	3448
49	684	3422
50	696	3402
51	708	3378
52	720	3358
53	738	3363
54	753	3354
55	769	3352
56	781	3329
57	794	3313
58	805	3290
59	818	3273
60	830	3253
61	841	3230
62	855	3218
63	869	3204
64	884	3199
65	898	3186
66	915	3184
67	929	3170
68	941	3152
69	956	3144
70	969	3125
71	982	3110
72	991	3081
73	1002	3062
74	1014	3044
75	1027	3027
76	1043	3022
77	1055	3004
78	1076	3012
79	1101	3028
80	1115	3016
81	1126	2995
82	1149	3004
83	1174	3019
84	1197	3029
85	1209	3009
86	1222	2993
87	1233	2971
88	1252	2968
89	1266	2954
90	1279	2938
91	1294	2926
92	1311	2918
93	1321	2895
94	1332	2875
95	1342	2851
96	1351	2828
97	1360	2804
98	1371	2785
99	1381	2763
100	1394	2747
101	1407	2731
102	1417	2711
103	1427	2689
104	1439	2673
105	1452	2657
106	1464	2641
107	1478	2628
108	1490	2612
109	1501	2593
110	1510	2571
111	1520	2552
112	1530	2532
113	1542	2516
114	1553	2499
115	1564	2481
116	1574	2463
117	1584	2443
118	1592	2422
119	1602	2403
120	1612	2385
121	1621	2366
122	1631	2347
123	1650	2342
124	1668	2336
125	1688	2331
126	1698	2314
127	1709	2296
128	1720	2280
129	1729	2261
130	1743	2249
131	1756	2234
132	1768	2220
133	1779	2204
134	1794	2193
135	1807	2179
136	1821	2166
137	1836	2156
138	1848	2140
139	1860	2126
140	1873	2112
141	1887	2100
142	1902	2088
143	1915	2074
144	1925	2058
145	1937	2044
146	1949	2029
147	1958	2011
148	1972	1998
149	1990	1990
150	2024	1998
151	2038	1985
152	2052	1972
153	2063	1956
154	2076	1942
155	2087	1926
156	2100	1913
157	2111	1897
158	2121	1881
159	2131	1865
160	2143	1851
161	2154	1835
162	2167	1821
163	2180	1807
164	2192	1794
165	2204	1779
166	2214	1763
167	2225	1748
168	2237	1734
169	2248	1719
170	2260	1705
171	2271	1690
172	2284	1677
173	2296	1662
174	2309	1649
175	2322	1636
176	2335	1622
177	2348	1609
178	2359	1594
179	2370	1580
180	2381	1565
181	2402	1557
182	2413	1542
183	2423	1528
184	2436	1514
185	2447	1500
186	2459	1486
187	2470	1472
188	2482	1457
189	2494	1444
190	2507	1431
191	2519	1417
192	2531	1403
193	2541	1388
194	2556	1376
195	2573	1365
196	2589	1353
197	2602	1340
198	2613	1326
199	2624	1312
200	2635	1298
201	2645	1283
202	2653	1267
203	2662	1252
204	2671	1238
205	2679	1222
206	2691	1209
207	2703	1195
208	2712	1181
209	2721	1166
210	2730	1151
211	2740	1137
212	2749	1123
213	2759	1108
214	2769	1094
215	2779	1080
216	2790	1067
217	2801	1053
218	2812	1040
219	2823	1026
220	2834	1013
221	2852	1002
222	2871	991
223	2884	978
224	2895	965
225	2905	951
226	2917	938
227	2929	925
228	2942	912
229	2955	899
230	2970	887
231	2983	874
232	2996	861
233	3082	869
234	3111	860
235	3125	847
236	3137	834
237	3149	820
238	3159	806
239	3168	792
240	3180	778
241	3195	765
242	3207	752
243	3219	738
244	3231	725
245	3242	711
246	3252	697
247	3263	684
248	3275	670
249	3287	657
250	3298	643
251	3311	630
252	3321	617
253	3332	603
254	3341	589
255	3349	575
256	3356	561
257	3365	547
258	3374	534
259	3384	520
260	3395	507
261	3408	494
262	3421	481
263	3435	468
264	3446	455
265	3459	442
266	3470	428
267	3479	415
268	3490	402
269	3501	389
270	3513	376
271	3523	362
272	3534	349
273	3545	336
274	3559	323
275	3575	310
276	3589	298
277	3607	285
278	3618	272
279	3628	259
280	3637	245
281	3648	232
282	3658	219
283	3669	206
284	3677	193
285	3686	180
286	3696	167
287	3705	154
288	3715	141
289	3725	128
290	3737	115
291	3749	102
292	3760	89
293	3768	76
294	3780	64
295	3790	51
296	3800	38
297	3811	25
298	3821	12
299	3834	0
