iter	Logloss
0	0.6729772389
1	0.6546598354
2	0.6402434068
3	0.6284488607
4	0.6173502802
5	0.6096148454
6	0.6014307663
7	0.5955144217
8	0.589909278
9	0.5844105524
10	0.5803179036
11	0.5763173395
12	0.5733635557
13	0.5709492154
14	0.5674934866
15	0.5656016188
16	0.5636373425
17	0.5616583524
18	0.5591008695
19	0.557267426
20	0.5552020942
21	0.5538693825
22	0.5516063419
23	0.5503398541
24	0.5491357674
25	0.5481263251
26	0.5466823529
27	0.5456298725
28	0.5446265924
29	0.5434317305
30	0.5420303557
31	0.5408106393
32	0.5397102952
33	0.5388149293
34	0.5379848415
35	0.5372521484
36	0.5364307936
37	0.5356947451
38	0.5350344286
39	0.5342749967
40	0.533150942
41	0.5326091275
42	0.5317773187
43	0.5312180767
44	0.5300892208
45	0.5296835387
46	0.5291433325
47	0.5285367119
48	0.5282295504
49	0.5270801605
50	0.5265830836
51	0.5259140544
52	0.5251066496
53	0.5239765352
54	0.5234795976
55	0.5229194787
56	0.5225062029
57	0.5216061993
58	0.5212721083
59	0.5207483861
60	0.5202869546
61	0.5198239524
62	0.5195366403
63	0.5191044789
64	0.5185687822
65	0.518007752
66	0.5174783805
67	0.5171359784
68	0.5167542926
69	0.5163556733
70	0.515857709
71	0.5153827424
72	0.514974717
73	0.5146093751
74	0.5141902104
75	0.5135844882
76	0.5130043439
77	0.5126058977
78	0.5117254931
79	0.511335694
80	0.511054226
81	0.5105613575
82	0.5100061585
83	0.5095652462
84	0.5092895603
85	0.508423952
86	0.5080180807
87	0.5075588435
88	0.5070764282
89	0.5067621341
90	0.5057945459
91	0.5044503381
92	0.5035752393
93	0.5030708388
94	0.5028304725
95	0.5024098877
96	0.5018245209
97	0.5012156324
98	0.5008962517
99	0.500548336
100	0.5000955625
101	0.4997044962
102	0.4990312644
103	0.4981139384
104	0.4977350003
105	0.497180275
106	0.4966742254
107	0.4960355438
108	0.4956484335
109	0.4952403716
110	0.4945756352
111	0.4942890727
112	0.4937107148
113	0.4933389251
114	0.4930944505
115	0.4928023839
116	0.4923326838
117	0.4917947975
118	0.4914450409
119	0.4910563467
120	0.4906120207
121	0.4898412735
122	0.4895060978
123	0.4888334374
124	0.4884368696
125	0.4881032376
126	0.487786666
127	0.4875079281
128	0.4871154955
129	0.4863755932
130	0.4860883321
131	0.4856127739
132	0.485375801
133	0.4850435134
134	0.4846603363
135	0.4843120195
136	0.4837140153
137	0.4834442224
138	0.4831288834
139	0.4828810579
140	0.4824364372
141	0.4820424737
142	0.4817660582
143	0.4813665439
144	0.4810708321
145	0.4807174787
146	0.4803438611
147	0.4800290463
148	0.4796854224
149	0.4793993773
150	0.4790086903
151	0.4787093087
152	0.4783395102
153	0.4781335816
154	0.4778881736
155	0.4770241254
156	0.4767236469
157	0.4763893568
158	0.4760359337
159	0.4757013028
160	0.47532596
161	0.4749501218
162	0.474469718
163	0.4740491732
164	0.4737165911
165	0.4734413094
166	0.4731380707
167	0.4728920303
168	0.4725847144
169	0.4722124843
170	0.4718909106
171	0.4716905365
172	0.4714282939
173	0.4711373307
174	0.470795741
175	0.4704733419
176	0.4703081078
177	0.4700835154
178	0.4697969698
179	0.4693358409
180	0.4690722371
181	0.4688197015
182	0.4684978769
183	0.468136659
184	0.4678527243
185	0.4675782304
186	0.4673712462
187	0.4670301948
188	0.4666876587
189	0.4664160874
190	0.4661597211
191	0.4658750639
192	0.4655169075
193	0.4652154915
194	0.46503914
195	0.4647362076
196	0.4644367192
197	0.4641416936
198	0.463980766
199	0.4637838274
200	0.4635241897
201	0.463160834
202	0.4628561107
203	0.4625602795
204	0.4622709178
205	0.4620598945
206	0.4617729375
207	0.4615057524
208	0.4612200327
209	0.4609893539
210	0.4608060578
211	0.4605965275
212	0.4603174473
213	0.460049967
214	0.4597777907
215	0.4594582135
216	0.459244375
217	0.4590916872
218	0.4588131428
219	0.4586323244
220	0.4584515022
221	0.458215143
222	0.4578402723
223	0.4575658051
224	0.4573045539
225	0.4571232987
226	0.4568948012
227	0.4566223969
228	0.4563059278
229	0.4561459369
230	0.4560033092
231	0.4557750779
232	0.4555067743
233	0.4552474051
234	0.4550213786
235	0.4547444198
236	0.4544510124
237	0.4542062759
238	0.4538665481
239	0.4536412365
240	0.4534767666
241	0.453208997
242	0.4529594972
243	0.4525926641
244	0.4524611587
245	0.452309263
246	0.4521110339
247	0.451828592
248	0.451692552
249	0.4513965115
250	0.4510960296
251	0.4508937912
252	0.4505658485
253	0.4502849341
254	0.4500203168
255	0.4497844919
256	0.4494853569
257	0.449246485
258	0.4489966108
259	0.448632072
260	0.4483947759
261	0.4482090647
262	0.4479843172
263	0.4477737825
264	0.447599631
265	0.4473609346
266	0.4471557178
267	0.4469379705
268	0.4467137515
269	0.4464883942
270	0.4462968671
271	0.4460894987
272	0.4458435344
273	0.4456474965
274	0.4454747519
275	0.4452251219
276	0.4449861029
277	0.4447991071
278	0.4445603404
279	0.4443021605
280	0.4440986797
281	0.4438858802
282	0.4436708108
283	0.4433028688
284	0.4430418484
285	0.442772924
286	0.4425621878
287	0.4423130369
288	0.4420385322
289	0.441799591
290	0.441524896
291	0.441204415
292	0.4408855668
293	0.4406755777
294	0.4404424591
295	0.440189174
296	0.4399880432
297	0.4398534038
298	0.4395419306
299	0.4394151713
