iter	Passed	Remaining
0	11	3470
1	23	3467
2	32	3208
3	41	3071
4	52	3078
5	61	2990
6	70	2937
7	85	3133
8	103	3346
9	119	3467
10	129	3401
11	138	3325
12	148	3268
13	156	3188
14	166	3161
15	174	3100
16	184	3072
17	195	3059
18	204	3027
19	215	3012
20	222	2956
21	232	2934
22	242	2917
23	252	2900
24	262	2890
25	271	2861
26	281	2842
27	290	2817
28	299	2802
29	310	2796
30	325	2820
31	340	2848
32	355	2873
33	368	2880
34	376	2852
35	386	2831
36	394	2806
37	406	2804
38	415	2782
39	427	2781
40	439	2778
41	452	2778
42	464	2778
43	479	2791
44	495	2807
45	509	2813
46	521	2809
47	537	2822
48	553	2836
49	565	2826
50	576	2815
51	589	2812
52	602	2805
53	617	2814
54	629	2802
55	642	2799
56	658	2805
57	672	2806
58	686	2804
59	701	2807
60	715	2801
61	729	2801
62	745	2803
63	754	2782
64	765	2767
65	777	2756
66	788	2741
67	800	2732
68	814	2728
69	828	2722
70	845	2727
71	857	2716
72	869	2702
73	879	2687
74	891	2674
75	903	2663
76	921	2668
77	939	2673
78	952	2663
79	964	2651
80	977	2642
81	990	2632
82	1001	2618
83	1013	2606
84	1025	2593
85	1035	2576
86	1047	2565
87	1058	2550
88	1068	2532
89	1079	2518
90	1094	2513
91	1109	2508
92	1124	2502
93	1136	2491
94	1150	2483
95	1163	2472
96	1176	2461
97	1190	2454
98	1206	2449
99	1221	2442
100	1235	2433
101	1248	2423
102	1262	2415
103	1276	2406
104	1289	2394
105	1298	2376
106	1310	2363
107	1323	2353
108	1339	2346
109	1353	2338
110	1368	2329
111	1383	2321
112	1396	2310
113	1407	2296
114	1421	2287
115	1435	2276
116	1446	2262
117	1458	2249
118	1470	2236
119	1483	2225
120	1498	2216
121	1510	2203
122	1520	2187
123	1533	2176
124	1547	2166
125	1557	2150
126	1572	2142
127	1582	2127
128	1594	2113
129	1605	2098
130	1617	2086
131	1634	2080
132	1649	2071
133	1661	2058
134	1671	2043
135	1680	2026
136	1690	2011
137	1703	1999
138	1715	1986
139	1726	1973
140	1736	1957
141	1746	1943
142	1760	1933
143	1777	1926
144	1793	1917
145	1806	1905
146	1819	1893
147	1830	1879
148	1842	1867
149	1855	1855
150	1870	1845
151	1883	1834
152	1905	1831
153	1917	1818
154	1931	1806
155	1942	1793
156	1954	1780
157	1969	1769
158	1983	1759
159	1997	1747
160	2010	1736
161	2025	1725
162	2040	1714
163	2052	1702
164	2066	1690
165	2078	1678
166	2092	1666
167	2107	1655
168	2121	1644
169	2135	1632
170	2149	1621
171	2161	1608
172	2175	1596
173	2188	1584
174	2200	1571
175	2211	1557
176	2223	1545
177	2236	1533
178	2250	1521
179	2263	1509
180	2280	1499
181	2293	1486
182	2304	1473
183	2317	1460
184	2331	1449
185	2340	1434
186	2350	1420
187	2359	1405
188	2370	1392
189	2381	1378
190	2391	1364
191	2402	1351
192	2412	1337
193	2423	1324
194	2432	1309
195	2442	1296
196	2452	1282
197	2461	1268
198	2469	1253
199	2481	1240
200	2494	1228
201	2507	1216
202	2518	1203
203	2529	1190
204	2540	1177
205	2551	1164
206	2564	1152
207	2575	1139
208	2586	1126
209	2597	1113
210	2607	1099
211	2620	1087
212	2630	1074
213	2644	1062
214	2658	1051
215	2670	1038
216	2680	1025
217	2691	1012
218	2700	998
219	2710	985
220	2720	972
221	2731	959
222	2743	947
223	2755	934
224	2769	923
225	2783	911
226	2798	900
227	2813	888
228	2825	875
229	2839	864
230	2850	851
231	2862	838
232	2874	826
233	2888	814
234	2899	802
235	2912	789
236	2924	777
237	2935	764
238	2946	752
239	2961	740
240	2975	728
241	2987	715
242	3001	704
243	3016	692
244	3031	680
245	3045	668
246	3060	656
247	3071	643
248	3082	631
249	3094	618
250	3107	606
251	3124	595
252	3138	583
253	3151	570
254	3163	558
255	3176	545
256	3192	534
257	3206	522
258	3220	509
259	3233	497
260	3247	485
261	3261	473
262	3276	460
263	3289	448
264	3301	436
265	3313	423
266	3323	410
267	3333	398
268	3343	385
269	3359	373
270	3373	361
271	3389	348
272	3401	336
273	3413	323
274	3426	311
275	3439	299
276	3449	286
277	3459	273
278	3470	261
279	3480	248
280	3491	236
281	3500	223
282	3509	210
283	3521	198
284	3531	185
285	3541	173
286	3552	160
287	3562	148
288	3573	136
289	3585	123
290	3596	111
291	3607	98
292	3620	86
293	3630	74
294	3642	61
295	3652	49
296	3665	37
297	3677	24
298	3689	12
299	3699	0
