iter	Logloss
0	0.672040873
1	0.652120534
2	0.6371674778
3	0.625456448
4	0.6141296797
5	0.6056042201
6	0.5983835822
7	0.5923239541
8	0.5856249828
9	0.5813780722
10	0.5777266358
11	0.575016005
12	0.5712682435
13	0.5680641926
14	0.5656023768
15	0.5632550727
16	0.5605860624
17	0.5587496402
18	0.5567193771
19	0.5549488189
20	0.5536343039
21	0.5514993224
22	0.5501284748
23	0.5485292809
24	0.5474321394
25	0.5463542343
26	0.5448960998
27	0.5438464357
28	0.5430988319
29	0.5420720372
30	0.5412880763
31	0.5405485737
32	0.5390364304
33	0.538343396
34	0.5376302147
35	0.5368059635
36	0.5360098283
37	0.5352902122
38	0.5346723817
39	0.5330734344
40	0.5323225054
41	0.5316061163
42	0.5309906886
43	0.5302769044
44	0.5297458199
45	0.5286204015
46	0.5278878224
47	0.5274020923
48	0.5268662417
49	0.5264237126
50	0.5259807453
51	0.5252809766
52	0.5248323117
53	0.5244496918
54	0.5236879436
55	0.523327091
56	0.5228089507
57	0.5223624518
58	0.5219353067
59	0.5213344565
60	0.5208505068
61	0.5203003797
62	0.519759779
63	0.5195371369
64	0.5192394759
65	0.5186478842
66	0.5183145603
67	0.5177833798
68	0.517289495
69	0.5169400684
70	0.5165746004
71	0.5156999937
72	0.5153599318
73	0.5148979086
74	0.5143420368
75	0.5139769443
76	0.5136681866
77	0.5133236563
78	0.5131025965
79	0.5126887346
80	0.5123889044
81	0.5120632067
82	0.511420352
83	0.5110405708
84	0.5105903476
85	0.5101408524
86	0.5098066878
87	0.5094405269
88	0.5088559632
89	0.5084582296
90	0.508050144
91	0.50763595
92	0.5073547521
93	0.5069167235
94	0.506569243
95	0.506201542
96	0.5055697146
97	0.5052683756
98	0.5049097871
99	0.5044386221
100	0.5041822912
101	0.5037948077
102	0.5031088338
103	0.5027873919
104	0.5025277495
105	0.5020609299
106	0.5017206792
107	0.5013702107
108	0.5011416341
109	0.5008420318
110	0.5004860046
111	0.500141926
112	0.499824502
113	0.4993878072
114	0.498780627
115	0.4984318233
116	0.4973708107
117	0.4968081492
118	0.4964837667
119	0.4961409585
120	0.4958460783
121	0.4955285448
122	0.4952256088
123	0.4948347864
124	0.4944736349
125	0.4936550268
126	0.493346806
127	0.4930399648
128	0.492732706
129	0.4924456274
130	0.4922526893
131	0.4917209715
132	0.4912567843
133	0.4909781653
134	0.4906583455
135	0.4904233777
136	0.4901440643
137	0.4897510033
138	0.4894446187
139	0.4891138729
140	0.4887975916
141	0.4885166882
142	0.488206771
143	0.4878029336
144	0.4872572503
145	0.4869134195
146	0.4865816289
147	0.4864188064
148	0.4860446073
149	0.4856715123
150	0.4853249886
151	0.4851295966
152	0.4848611725
153	0.4845749516
154	0.4842576957
155	0.4839650459
156	0.4837213828
157	0.4834570209
158	0.483198113
159	0.4829352459
160	0.4821004646
161	0.4818156814
162	0.481513295
163	0.4812803253
164	0.4809005822
165	0.4806740364
166	0.4803414878
167	0.4801390241
168	0.4798261692
169	0.4796281938
170	0.4794211834
171	0.479136649
172	0.4788563613
173	0.4785614703
174	0.4782885268
175	0.4781072109
176	0.4778814271
177	0.477693957
178	0.4774211693
179	0.4770699028
180	0.4767315259
181	0.4765072091
182	0.4762886975
183	0.4760357163
184	0.4757845795
185	0.4753698758
186	0.4750942623
187	0.4748910113
188	0.4746758314
189	0.4744321192
190	0.474158303
191	0.4738413251
192	0.4735597601
193	0.4732917472
194	0.4731031665
195	0.4728754064
196	0.4724244929
197	0.4721509252
198	0.4719508622
199	0.4716795596
200	0.4714364642
201	0.4712045294
202	0.471004199
203	0.4707237967
204	0.4704804491
205	0.4703127506
206	0.4700411408
207	0.4698091375
208	0.4695133883
209	0.4693112934
210	0.4690794678
211	0.4688583147
212	0.4685289106
213	0.4682359012
214	0.4679718751
215	0.4677878804
216	0.4674768237
217	0.4672069043
218	0.4670802434
219	0.4667531619
220	0.466522599
221	0.4662473334
222	0.4659645109
223	0.465698324
224	0.4654413128
225	0.4651423409
226	0.4648674746
227	0.4646439474
228	0.4644230009
229	0.4641751597
230	0.463906551
231	0.4636540848
232	0.4634243718
233	0.4631453599
234	0.4628553391
235	0.4625289499
236	0.4623187496
237	0.4621327372
238	0.4619479536
239	0.4616809395
240	0.4614776301
241	0.4613209269
242	0.4611087094
243	0.4609362797
244	0.4606823159
245	0.4604787413
246	0.4601973594
247	0.4599656909
248	0.4596878188
249	0.4594185602
250	0.4591149241
251	0.4588856164
252	0.4586395512
253	0.4584244484
254	0.4582848516
255	0.4580866293
256	0.4578803713
257	0.4576230576
258	0.4573063381
259	0.4571564416
260	0.4568874764
261	0.4566690531
262	0.4564296272
263	0.4561886993
264	0.4559395769
265	0.4557586722
266	0.4555335932
267	0.4552688421
268	0.4549961123
269	0.4547515955
270	0.454582918
271	0.4544226109
272	0.4541697726
273	0.4540842207
274	0.453868184
275	0.4536568185
276	0.4535200205
277	0.4533011619
278	0.4531358997
279	0.4529790089
280	0.452796935
281	0.4526351742
282	0.4524715929
283	0.4522720048
284	0.4521195593
285	0.4519616837
286	0.4518101253
287	0.4515774634
288	0.4514077494
289	0.4511611053
290	0.4509164538
291	0.4507330002
292	0.4505485645
293	0.4503523636
294	0.4501561898
295	0.4499971591
296	0.4497687052
297	0.4496282306
298	0.4494531946
299	0.4492411535
