iter	Passed	Remaining
0	13	4111
1	24	3700
2	38	3817
3	52	3849
4	66	3924
5	88	4318
6	106	4462
7	128	4692
8	154	4988
9	212	6166
10	256	6745
11	278	6684
12	307	6794
13	334	6836
14	356	6772
15	400	7108
16	415	6919
17	428	6707
18	442	6544
19	456	6384
20	470	6248
21	483	6115
22	496	5975
23	512	5899
24	528	5813
25	554	5846
26	572	5788
27	589	5730
28	605	5659
29	620	5580
30	631	5479
31	652	5464
32	667	5399
33	685	5359
34	698	5285
35	716	5252
36	731	5196
37	746	5145
38	765	5122
39	784	5100
40	802	5070
41	821	5046
42	841	5027
43	858	4992
44	870	4934
45	885	4891
46	913	4917
47	934	4904
48	950	4870
49	966	4830
50	982	4796
51	999	4765
52	1015	4733
53	1034	4713
54	1057	4712
55	1087	4736
56	1106	4716
57	1124	4693
58	1146	4684
59	1163	4652
60	1182	4633
61	1202	4615
62	1219	4587
63	1238	4565
64	1264	4571
65	1274	4519
66	1287	4477
67	1300	4438
68	1317	4411
69	1332	4378
70	1349	4351
71	1364	4321
72	1379	4289
73	1392	4251
74	1410	4230
75	1429	4214
76	1447	4193
77	1461	4160
78	1476	4129
79	1489	4095
80	1503	4064
81	1518	4036
82	1534	4012
83	1548	3981
84	1563	3954
85	1580	3933
86	1597	3910
87	1607	3871
88	1620	3841
89	1634	3812
90	1649	3789
91	1668	3771
92	1697	3778
93	1721	3772
94	1744	3765
95	1763	3747
96	1777	3720
97	1795	3701
98	1813	3681
99	1830	3661
100	1847	3640
101	1871	3632
102	1892	3619
103	1912	3603
104	1930	3584
105	1948	3566
106	1964	3543
107	1977	3516
108	1995	3495
109	2015	3481
110	2035	3465
111	2059	3456
112	2081	3444
113	2109	3442
114	2127	3423
115	2139	3394
116	2152	3367
117	2159	3330
118	2173	3306
119	2188	3282
120	2208	3267
121	2234	3259
122	2252	3242
123	2267	3218
124	2285	3199
125	2302	3180
126	2319	3159
127	2335	3138
128	2352	3117
129	2368	3097
130	2383	3075
131	2399	3054
132	2414	3032
133	2433	3014
134	2448	2992
135	2463	2970
136	2481	2952
137	2497	2932
138	2516	2914
139	2529	2890
140	2543	2868
141	2562	2851
142	2577	2830
143	2595	2811
144	2612	2792
145	2624	2768
146	2636	2743
147	2661	2733
148	2682	2718
149	2704	2704
150	2722	2685
151	2739	2667
152	2755	2647
153	2774	2630
154	2790	2610
155	2811	2595
156	2826	2574
157	2841	2553
158	2862	2538
159	2881	2521
160	2899	2502
161	2916	2484
162	2933	2465
163	2952	2448
164	2973	2433
165	3032	2448
166	3058	2435
167	3077	2418
168	3094	2398
169	3170	2424
170	3205	2417
171	3219	2396
172	3236	2376
173	3256	2358
174	3272	2337
175	3287	2316
176	3306	2297
177	3325	2279
178	3357	2269
179	3378	2252
180	3393	2230
181	3406	2208
182	3420	2186
183	3437	2167
184	3457	2149
185	3473	2128
186	3500	2115
187	3519	2096
188	3535	2076
189	3547	2053
190	3560	2031
191	3577	2012
192	3594	1992
193	3612	1973
194	3628	1953
195	3655	1939
196	3671	1919
197	3691	1901
198	3709	1882
199	3725	1862
200	3738	1841
201	3750	1819
202	3764	1798
203	3782	1780
204	3798	1760
205	3823	1744
206	3838	1724
207	3863	1708
208	3882	1690
209	3898	1670
210	3911	1649
211	3926	1629
212	3940	1609
213	3965	1593
214	3994	1579
215	4015	1561
216	4034	1543
217	4051	1523
218	4065	1503
219	4082	1484
220	4098	1465
221	4111	1444
222	4125	1424
223	4149	1407
224	4169	1389
225	4187	1371
226	4207	1353
227	4223	1333
228	4241	1314
229	4258	1296
230	4276	1277
231	4291	1257
232	4307	1238
233	4321	1218
234	4336	1199
235	4355	1181
236	4373	1162
237	4390	1143
238	4407	1124
239	4424	1106
240	4444	1088
241	4461	1069
242	4478	1050
243	4498	1032
244	4514	1013
245	4534	995
246	4551	976
247	4566	957
248	4586	939
249	4617	923
250	4633	904
251	4655	886
252	4667	866
253	4685	848
254	4701	829
255	4720	811
256	4738	792
257	4763	775
258	4781	756
259	4793	737
260	4810	718
261	4827	700
262	4848	682
263	4866	663
264	4882	644
265	4899	626
266	4921	608
267	4939	589
268	4958	571
269	4976	552
270	4994	534
271	5011	515
272	5029	497
273	5049	479
274	5072	461
275	5087	442
276	5113	424
277	5130	406
278	5150	387
279	5167	369
280	5186	350
281	5203	332
282	5227	314
283	5249	295
284	5265	277
285	5298	259
286	5346	242
287	5368	223
288	5388	205
289	5403	186
290	5424	167
291	5445	149
292	5461	130
293	5476	111
294	5496	93
295	5508	74
296	5523	55
297	5537	37
298	5561	18
299	5583	0
