iter	Passed	Remaining
0	8	2420
1	17	2656
2	29	2962
3	40	2967
4	49	2945
5	61	3017
6	73	3071
7	88	3240
8	103	3359
9	117	3407
10	130	3425
11	140	3378
12	152	3357
13	163	3332
14	173	3288
15	185	3291
16	197	3288
17	210	3299
18	219	3251
19	232	3257
20	245	3260
21	258	3263
22	269	3247
23	281	3239
24	293	3224
25	303	3194
26	313	3170
27	325	3161
28	337	3155
29	349	3143
30	363	3156
31	376	3150
32	388	3143
33	401	3141
34	411	3118
35	422	3098
36	432	3075
37	443	3056
38	455	3049
39	472	3068
40	483	3056
41	501	3079
42	516	3085
43	530	3088
44	540	3063
45	552	3049
46	565	3043
47	576	3026
48	589	3017
49	600	3001
50	615	3003
51	627	2994
52	645	3009
53	657	2994
54	666	2969
55	676	2947
56	685	2920
57	695	2900
58	705	2883
59	715	2863
60	727	2849
61	737	2831
62	747	2811
63	758	2796
64	770	2787
65	781	2770
66	791	2751
67	801	2735
68	810	2713
69	821	2700
70	832	2685
71	842	2668
72	854	2656
73	864	2640
74	873	2621
75	882	2602
76	892	2583
77	902	2567
78	911	2549
79	919	2529
80	930	2514
81	938	2494
82	951	2487
83	963	2478
84	977	2471
85	991	2467
86	1002	2454
87	1012	2438
88	1021	2422
89	1031	2406
90	1041	2392
91	1052	2380
92	1063	2367
93	1074	2355
94	1085	2341
95	1096	2330
96	1107	2317
97	1117	2303
98	1127	2289
99	1137	2274
100	1146	2258
101	1155	2242
102	1164	2227
103	1174	2214
104	1184	2199
105	1195	2187
106	1207	2178
107	1221	2171
108	1233	2160
109	1244	2149
110	1255	2138
111	1269	2131
112	1280	2119
113	1294	2112
114	1306	2101
115	1317	2090
116	1332	2084
117	1345	2075
118	1358	2066
119	1371	2057
120	1385	2049
121	1398	2040
122	1409	2028
123	1420	2016
124	1432	2005
125	1445	1995
126	1457	1985
127	1467	1971
128	1480	1962
129	1493	1952
130	1507	1944
131	1522	1937
132	1535	1928
133	1547	1917
134	1561	1908
135	1575	1900
136	1588	1890
137	1601	1880
138	1615	1871
139	1628	1861
140	1639	1848
141	1652	1838
142	1662	1825
143	1675	1814
144	1686	1802
145	1696	1789
146	1710	1780
147	1726	1772
148	1747	1771
149	1762	1762
150	1773	1749
151	1783	1736
152	1793	1723
153	1804	1710
154	1814	1697
155	1825	1685
156	1836	1672
157	1848	1661
158	1861	1650
159	1874	1640
160	1887	1629
161	1900	1618
162	1912	1607
163	1921	1593
164	1934	1583
165	1944	1569
166	1954	1556
167	1964	1543
168	1977	1532
169	1988	1520
170	1999	1508
171	2010	1496
172	2022	1484
173	2034	1473
174	2046	1461
175	2056	1449
176	2068	1437
177	2080	1425
178	2091	1413
179	2103	1402
180	2113	1389
181	2124	1377
182	2133	1364
183	2147	1354
184	2163	1344
185	2179	1335
186	2193	1325
187	2205	1313
188	2214	1300
189	2226	1289
190	2239	1277
191	2251	1266
192	2265	1255
193	2276	1244
194	2292	1234
195	2307	1224
196	2323	1214
197	2336	1203
198	2348	1191
199	2358	1179
200	2369	1166
201	2379	1154
202	2391	1142
203	2403	1130
204	2415	1119
205	2426	1107
206	2440	1096
207	2454	1085
208	2465	1073
209	2480	1063
210	2492	1051
211	2504	1039
212	2518	1028
213	2531	1017
214	2546	1006
215	2558	994
216	2574	984
217	2584	972
218	2593	959
219	2603	946
220	2614	934
221	2625	922
222	2636	910
223	2649	898
224	2661	887
225	2672	875
226	2683	862
227	2694	851
228	2705	838
229	2716	826
230	2727	814
231	2737	802
232	2746	789
233	2754	777
234	2767	765
235	2778	753
236	2792	742
237	2805	730
238	2817	719
239	2828	707
240	2839	695
241	2849	682
242	2860	670
243	2871	658
244	2881	646
245	2890	634
246	2899	622
247	2909	610
248	2920	598
249	2932	586
250	2944	574
251	2956	563
252	2965	550
253	2974	538
254	2984	526
255	2996	514
256	3007	503
257	3017	491
258	3026	479
259	3036	467
260	3048	455
261	3058	443
262	3069	431
263	3080	420
264	3090	408
265	3104	396
266	3121	385
267	3137	374
268	3151	363
269	3164	351
270	3176	339
271	3189	328
272	3202	316
273	3214	305
274	3227	293
275	3240	281
276	3255	270
277	3272	258
278	3287	247
279	3298	235
280	3308	223
281	3319	211
282	3327	199
283	3334	187
284	3349	176
285	3363	164
286	3379	153
287	3394	141
288	3408	129
289	3420	117
290	3431	106
291	3439	94
292	3450	82
293	3461	70
294	3474	58
295	3487	47
296	3500	35
297	3515	23
298	3528	11
299	3540	0
