iter	Passed	Remaining
0	9	2867
1	27	4074
2	43	4260
3	57	4220
4	67	4004
5	78	3824
6	84	3540
7	93	3419
8	105	3417
9	116	3372
10	127	3353
11	137	3291
12	146	3239
13	157	3216
14	167	3181
15	178	3174
16	189	3156
17	199	3119
18	208	3082
19	218	3064
20	228	3035
21	238	3017
22	247	2983
23	258	2970
24	266	2928
25	275	2907
26	285	2881
27	296	2884
28	313	2933
29	332	2992
30	346	3003
31	357	2993
32	367	2971
33	377	2949
34	386	2925
35	396	2909
36	406	2887
37	416	2873
38	427	2861
39	437	2845
40	444	2806
41	454	2790
42	465	2782
43	475	2763
44	482	2736
45	493	2726
46	504	2715
47	514	2701
48	526	2694
49	535	2677
50	546	2665
51	556	2655
52	567	2642
53	578	2633
54	589	2623
55	609	2655
56	627	2676
57	638	2664
58	646	2640
59	654	2616
60	660	2588
61	667	2564
62	676	2545
63	686	2529
64	695	2514
65	704	2499
66	714	2484
67	724	2470
68	734	2459
69	745	2450
70	755	2435
71	764	2420
72	775	2410
73	786	2402
74	797	2391
75	806	2377
76	814	2358
77	823	2344
78	834	2334
79	844	2322
80	855	2312
81	864	2297
82	876	2290
83	887	2283
84	896	2266
85	904	2251
86	914	2238
87	928	2236
88	945	2241
89	962	2246
90	975	2240
91	984	2226
92	993	2211
93	1000	2192
94	1009	2179
95	1018	2164
96	1029	2154
97	1039	2142
98	1050	2132
99	1060	2121
100	1071	2110
101	1079	2095
102	1091	2087
103	1102	2078
104	1111	2063
105	1122	2053
106	1133	2045
107	1143	2033
108	1153	2021
109	1162	2007
110	1171	1994
111	1177	1976
112	1187	1965
113	1196	1952
114	1207	1941
115	1215	1928
116	1226	1918
117	1236	1907
118	1246	1896
119	1255	1883
120	1272	1882
121	1289	1880
122	1304	1877
123	1315	1867
124	1325	1855
125	1336	1845
126	1347	1835
127	1354	1819
128	1362	1805
129	1372	1794
130	1382	1784
131	1392	1772
132	1403	1762
133	1413	1750
134	1422	1738
135	1431	1725
136	1441	1715
137	1451	1704
138	1461	1693
139	1472	1682
140	1481	1670
141	1491	1659
142	1504	1651
143	1518	1644
144	1528	1634
145	1543	1628
146	1554	1618
147	1566	1608
148	1575	1597
149	1586	1586
150	1596	1574
151	1606	1564
152	1617	1553
153	1627	1543
154	1637	1532
155	1648	1521
156	1658	1510
157	1668	1499
158	1678	1488
159	1688	1477
160	1697	1465
161	1708	1455
162	1718	1444
163	1729	1433
164	1739	1423
165	1749	1412
166	1760	1401
167	1801	1415
168	1813	1405
169	1839	1407
170	1850	1396
171	1861	1385
172	1872	1374
173	1881	1362
174	1889	1349
175	1900	1338
176	1909	1327
177	1919	1315
178	1930	1304
179	1941	1294
180	1951	1283
181	1960	1271
182	1969	1259
183	1980	1248
184	1991	1237
185	2000	1226
186	2010	1214
187	2016	1201
188	2026	1190
189	2034	1177
190	2041	1165
191	2049	1152
192	2059	1141
193	2069	1130
194	2082	1121
195	2093	1110
196	2105	1100
197	2115	1089
198	2124	1078
199	2133	1066
200	2142	1055
201	2151	1043
202	2157	1031
203	2165	1019
204	2175	1008
205	2183	996
206	2192	985
207	2202	974
208	2212	963
209	2219	951
210	2229	940
211	2238	929
212	2248	918
213	2255	906
214	2261	894
215	2270	882
216	2278	871
217	2287	860
218	2295	849
219	2302	837
220	2309	825
221	2321	815
222	2333	805
223	2343	795
224	2354	784
225	2363	773
226	2371	762
227	2379	751
228	2388	740
229	2396	729
230	2403	717
231	2412	707
232	2422	696
233	2430	685
234	2437	674
235	2447	663
236	2457	653
237	2476	645
238	2492	636
239	2509	627
240	2519	616
241	2528	606
242	2537	595
243	2546	584
244	2557	574
245	2567	563
246	2578	553
247	2587	542
248	2597	531
249	2607	521
250	2617	511
251	2628	500
252	2637	490
253	2648	479
254	2658	469
255	2667	458
256	2677	447
257	2686	437
258	2698	427
259	2709	416
260	2718	406
261	2726	395
262	2736	384
263	2745	374
264	2755	363
265	2766	353
266	2777	343
267	2786	332
268	2796	322
269	2807	311
270	2817	301
271	2828	291
272	2840	280
273	2858	271
274	2874	261
275	2888	251
276	2896	240
277	2907	230
278	2918	219
279	2929	209
280	2939	198
281	2949	188
282	2961	177
283	2973	167
284	2984	157
285	2993	146
286	3003	136
287	3013	125
288	3023	115
289	3033	104
290	3043	94
291	3052	83
292	3060	73
293	3069	62
294	3081	52
295	3091	41
296	3101	31
297	3113	20
298	3123	10
299	3137	0
