iter	Logloss
0	0.6711650258
1	0.6537648855
2	0.6405293246
3	0.6283031884
4	0.6178032989
5	0.6088183972
6	0.6011877949
7	0.5950942763
8	0.5892719297
9	0.5845309865
10	0.5802302284
11	0.5764010222
12	0.5732327126
13	0.5705289619
14	0.5669222465
15	0.5644131821
16	0.5622290731
17	0.5596461479
18	0.5579084065
19	0.556342768
20	0.5543476541
21	0.5529002743
22	0.5512872312
23	0.5501996343
24	0.5489157641
25	0.5478676364
26	0.5468582886
27	0.5457832267
28	0.544781673
29	0.5439066122
30	0.5426135667
31	0.5418463921
32	0.5409533307
33	0.5402081864
34	0.5393624668
35	0.53879158
36	0.5379283481
37	0.536724836
38	0.5357886325
39	0.5340882347
40	0.5331539533
41	0.532539844
42	0.5319229215
43	0.5313080884
44	0.529989219
45	0.5294580968
46	0.5288661215
47	0.5282219045
48	0.5277341941
49	0.5271591207
50	0.5266276234
51	0.5261084299
52	0.525400028
53	0.5245261823
54	0.5240024455
55	0.5235897912
56	0.5220082189
57	0.5213908302
58	0.5208555391
59	0.5202192049
60	0.5198498236
61	0.5193421039
62	0.5189400899
63	0.5183552069
64	0.5175977463
65	0.5163496781
66	0.5159081822
67	0.5148545818
68	0.5144020081
69	0.5133296351
70	0.5128185085
71	0.5123666531
72	0.5116831735
73	0.5109156003
74	0.5103419056
75	0.5099056323
76	0.5097153362
77	0.5094082078
78	0.5089085202
79	0.5085202436
80	0.50805467
81	0.5075718246
82	0.5072454017
83	0.5069123245
84	0.5063902702
85	0.5060078827
86	0.5054956769
87	0.5050347695
88	0.5044161062
89	0.5037682652
90	0.5032119815
91	0.5029220046
92	0.5024658938
93	0.5020309902
94	0.5016770045
95	0.501119931
96	0.5007803574
97	0.5004023529
98	0.4998550849
99	0.4995450982
100	0.4993219751
101	0.4988493264
102	0.4983556318
103	0.4979403143
104	0.4975664221
105	0.4969266474
106	0.4963198658
107	0.4958938576
108	0.4951289
109	0.4947929083
110	0.4944503771
111	0.4940787878
112	0.4934812717
113	0.4930817765
114	0.492612281
115	0.4922034421
116	0.491769062
117	0.4914417346
118	0.4910754801
119	0.4906654761
120	0.4902445835
121	0.4897919367
122	0.4894259921
123	0.4891362031
124	0.488593276
125	0.4878608483
126	0.4874329844
127	0.4870286231
128	0.4867114257
129	0.4861483484
130	0.4848358886
131	0.4845767281
132	0.4842267279
133	0.4839484831
134	0.4836181456
135	0.4832469873
136	0.4829290226
137	0.4823865243
138	0.4821280201
139	0.4818334706
140	0.4812275323
141	0.4809975476
142	0.4806391279
143	0.4803547115
144	0.4801322853
145	0.4797755141
146	0.4794147973
147	0.4791155707
148	0.4787291038
149	0.4783778621
150	0.4780413843
151	0.4776282541
152	0.4772827391
153	0.4769340691
154	0.4765773138
155	0.4762413171
156	0.4758805464
157	0.4756039971
158	0.4753532028
159	0.4749203338
160	0.4746104896
161	0.4740897875
162	0.4737635935
163	0.4735530369
164	0.4733005266
165	0.4729095793
166	0.4726187908
167	0.4722899332
168	0.472065067
169	0.4717737721
170	0.4714569013
171	0.4711339582
172	0.4708472029
173	0.4705296704
174	0.4702409557
175	0.4699364954
176	0.4695991256
177	0.4693435516
178	0.4690544679
179	0.468727394
180	0.4684995301
181	0.4681639676
182	0.4678538052
183	0.4674011673
184	0.4671276263
185	0.4668395651
186	0.4665944783
187	0.4662777309
188	0.4660354854
189	0.4658319582
190	0.465629027
191	0.4652595902
192	0.4649935353
193	0.4647955887
194	0.4644854934
195	0.4642431675
196	0.4637932066
197	0.4635774379
198	0.4633490064
199	0.463019852
200	0.4626546051
201	0.4623193386
202	0.4620546203
203	0.4617022782
204	0.4612930909
205	0.4610240187
206	0.4608314503
207	0.4606525835
208	0.4603084333
209	0.4600427086
210	0.4598270904
211	0.4594371015
212	0.459121968
213	0.458739349
214	0.4585248526
215	0.4582047888
216	0.4579090028
217	0.4576264154
218	0.4573910821
219	0.4571576774
220	0.4568809292
221	0.4566209936
222	0.4562433988
223	0.4560089927
224	0.4558408494
225	0.4555535685
226	0.4553848937
227	0.4552001102
228	0.4549789875
229	0.4546381197
230	0.4543694787
231	0.4541020727
232	0.4539269362
233	0.4536270392
234	0.4533207525
235	0.4530776314
236	0.4527497891
237	0.452478081
238	0.4522847621
239	0.4520438539
240	0.4517746684
241	0.4515510897
242	0.4512276575
243	0.4510001254
244	0.4508302618
245	0.4505885201
246	0.4503545772
247	0.4499483513
248	0.4496232313
249	0.4494870694
250	0.4492548653
251	0.4489816501
252	0.4486366219
253	0.4483049945
254	0.4481708664
255	0.4480005054
256	0.4478172966
257	0.4475145182
258	0.4473328766
259	0.4471614076
260	0.4469533242
261	0.4467790115
262	0.4464981267
263	0.4463376868
264	0.4460527109
265	0.4458773978
266	0.4456132126
267	0.4454648921
268	0.4452498538
269	0.4449789954
270	0.4447620479
271	0.4444764444
272	0.444299874
273	0.4439835701
274	0.4436837132
275	0.4434763872
276	0.4432828853
277	0.4429392879
278	0.4428143844
279	0.4426550709
280	0.4423727221
281	0.4420864306
282	0.4418935706
283	0.4415756006
284	0.4414449401
285	0.4412362815
286	0.4411277976
287	0.4408954639
288	0.4407158481
289	0.44047009
290	0.4402323028
291	0.4401173787
292	0.4398539129
293	0.4396799608
294	0.4395107641
295	0.4392943149
296	0.4390596704
297	0.4388058865
298	0.4386088304
299	0.4384346988
