iter	Passed	Remaining
0	7	2204
1	15	2240
2	23	2330
3	31	2352
4	40	2372
5	49	2402
6	57	2422
7	66	2435
8	75	2443
9	84	2440
10	93	2463
11	102	2456
12	111	2460
13	119	2448
14	127	2424
15	136	2428
16	145	2420
17	153	2408
18	163	2413
19	174	2440
20	184	2451
21	192	2429
22	200	2417
23	210	2415
24	219	2418
25	230	2428
26	252	2550
27	274	2668
28	292	2728
29	300	2704
30	308	2679
31	319	2671
32	330	2670
33	340	2665
34	350	2656
35	360	2644
36	371	2637
37	381	2630
38	393	2632
39	402	2617
40	412	2607
41	421	2591
42	431	2577
43	441	2568
44	451	2559
45	462	2554
46	472	2542
47	482	2534
48	493	2528
49	504	2520
50	514	2510
51	525	2506
52	534	2492
53	544	2481
54	555	2475
55	567	2470
56	577	2463
57	588	2456
58	600	2451
59	610	2442
60	620	2429
61	631	2424
62	641	2412
63	652	2404
64	662	2394
65	672	2384
66	682	2375
67	693	2367
68	704	2357
69	713	2344
70	725	2339
71	742	2352
72	761	2368
73	772	2357
74	783	2350
75	793	2338
76	801	2322
77	812	2311
78	822	2300
79	833	2291
80	844	2283
81	854	2270
82	865	2262
83	876	2253
84	887	2246
85	898	2235
86	910	2228
87	922	2221
88	932	2210
89	941	2197
90	950	2184
91	961	2173
92	972	2164
93	982	2153
94	993	2144
95	1005	2135
96	1015	2125
97	1024	2111
98	1035	2103
99	1046	2092
100	1057	2084
101	1067	2073
102	1078	2063
103	1088	2050
104	1095	2034
105	1104	2022
106	1114	2010
107	1124	1999
108	1135	1989
109	1147	1981
110	1158	1973
111	1171	1966
112	1184	1960
113	1198	1955
114	1207	1942
115	1215	1928
116	1224	1915
117	1236	1906
118	1245	1894
119	1255	1882
120	1262	1868
121	1271	1854
122	1281	1844
123	1293	1835
124	1303	1825
125	1314	1815
126	1324	1804
127	1332	1791
128	1343	1781
129	1353	1769
130	1364	1760
131	1375	1751
132	1386	1740
133	1394	1726
134	1402	1713
135	1412	1702
136	1422	1692
137	1432	1681
138	1443	1672
139	1459	1668
140	1475	1663
141	1486	1653
142	1495	1642
143	1506	1631
144	1516	1621
145	1527	1611
146	1540	1602
147	1550	1592
148	1561	1582
149	1573	1573
150	1582	1561
151	1594	1552
152	1605	1542
153	1615	1531
154	1626	1521
155	1637	1511
156	1647	1500
157	1658	1490
158	1666	1477
159	1675	1466
160	1684	1453
161	1694	1443
162	1702	1430
163	1712	1419
164	1722	1409
165	1732	1398
166	1743	1388
167	1752	1377
168	1762	1366
169	1775	1358
170	1802	1359
171	1814	1350
172	1826	1341
173	1836	1329
174	1845	1318
175	1856	1307
176	1866	1297
177	1877	1286
178	1886	1275
179	1898	1265
180	1908	1254
181	1918	1243
182	1928	1232
183	1938	1222
184	1949	1211
185	1959	1201
186	1970	1190
187	1981	1180
188	1990	1168
189	1998	1156
190	2006	1145
191	2015	1133
192	2025	1122
193	2035	1111
194	2043	1100
195	2052	1089
196	2061	1077
197	2070	1066
198	2078	1055
199	2088	1044
200	2095	1032
201	2103	1020
202	2112	1009
203	2120	998
204	2129	986
205	2138	975
206	2146	964
207	2155	953
208	2161	941
209	2169	929
210	2177	918
211	2187	907
212	2196	897
213	2203	885
214	2212	874
215	2222	864
216	2231	853
217	2240	842
218	2250	832
219	2264	823
220	2286	817
221	2302	809
222	2311	798
223	2320	787
224	2329	776
225	2341	766
226	2352	756
227	2362	746
228	2371	735
229	2380	724
230	2391	714
231	2401	703
232	2412	693
233	2421	683
234	2432	672
235	2442	662
236	2455	652
237	2463	641
238	2493	636
239	2505	626
240	2518	616
241	2528	606
242	2538	595
243	2551	585
244	2561	575
245	2571	564
246	2582	554
247	2590	543
248	2597	532
249	2608	521
250	2620	511
251	2631	501
252	2642	490
253	2653	480
254	2664	470
255	2683	461
256	2699	451
257	2716	442
258	2725	431
259	2734	420
260	2743	409
261	2752	399
262	2761	388
263	2771	377
264	2778	367
265	2788	356
266	2798	345
267	2809	335
268	2819	324
269	2828	314
270	2836	303
271	2845	292
272	2854	282
273	2863	271
274	2872	261
275	2881	250
276	2890	240
277	2899	229
278	2908	218
279	2951	210
280	2959	200
281	2969	189
282	2978	178
283	2987	168
284	2996	157
285	3005	147
286	3013	136
287	3022	125
288	3030	115
289	3038	104
290	3047	94
291	3056	83
292	3066	73
293	3075	62
294	3083	52
295	3092	41
296	3100	31
297	3109	20
298	3118	10
299	3127	0
