iter	Passed	Remaining
0	13	4099
1	25	3853
2	39	3877
3	50	3764
4	63	3753
5	75	3685
6	85	3585
7	96	3507
8	104	3373
9	114	3317
10	124	3274
11	135	3262
12	146	3232
13	157	3212
14	167	3186
15	178	3168
16	199	3324
17	213	3337
18	229	3400
19	241	3376
20	251	3346
21	263	3334
22	273	3297
23	283	3262
24	293	3231
25	303	3195
26	314	3183
27	327	3177
28	337	3151
29	347	3129
30	360	3125
31	370	3104
32	381	3088
33	392	3068
34	402	3043
35	413	3029
36	426	3030
37	436	3010
38	446	2987
39	459	2986
40	469	2965
41	479	2943
42	489	2928
43	499	2908
44	510	2890
45	520	2875
46	535	2880
47	547	2874
48	558	2863
49	569	2849
50	576	2815
51	581	2774
52	590	2753
53	600	2733
54	612	2727
55	625	2726
56	638	2722
57	652	2723
58	663	2710
59	675	2701
60	688	2696
61	700	2688
62	710	2672
63	724	2672
64	735	2659
65	748	2654
66	760	2646
67	772	2635
68	784	2627
69	798	2624
70	812	2621
71	825	2615
72	838	2608
73	852	2604
74	869	2607
75	886	2614
76	899	2604
77	912	2598
78	927	2593
79	938	2581
80	950	2569
81	962	2557
82	973	2544
83	983	2529
84	994	2514
85	1007	2506
86	1023	2505
87	1036	2497
88	1048	2485
89	1058	2470
90	1070	2458
91	1083	2449
92	1097	2442
93	1110	2433
94	1120	2418
95	1131	2404
96	1149	2404
97	1161	2394
98	1173	2383
99	1185	2371
100	1195	2355
101	1204	2337
102	1215	2324
103	1225	2308
104	1235	2295
105	1245	2279
106	1260	2273
107	1274	2265
108	1286	2255
109	1300	2246
110	1312	2233
111	1324	2223
112	1337	2213
113	1349	2202
114	1363	2193
115	1379	2187
116	1395	2183
117	1409	2173
118	1422	2162
119	1432	2148
120	1445	2138
121	1454	2122
122	1465	2108
123	1474	2092
124	1485	2079
125	1496	2066
126	1505	2051
127	1520	2042
128	1534	2034
129	1548	2024
130	1559	2012
131	1571	2000
132	1587	1993
133	1602	1984
134	1615	1973
135	1627	1961
136	1640	1951
137	1653	1940
138	1663	1926
139	1674	1913
140	1684	1899
141	1696	1887
142	1710	1877
143	1723	1867
144	1737	1857
145	1751	1847
146	1762	1834
147	1773	1821
148	1791	1815
149	1812	1812
150	1833	1808
151	1846	1798
152	1864	1791
153	1878	1780
154	1894	1772
155	1911	1764
156	1926	1754
157	1940	1744
158	1954	1732
159	1968	1722
160	1981	1710
161	1993	1698
162	2004	1684
163	2014	1670
164	2024	1656
165	2033	1641
166	2042	1626
167	2053	1613
168	2065	1600
169	2077	1588
170	2089	1576
171	2102	1565
172	2116	1553
173	2131	1543
174	2163	1545
175	2184	1539
176	2196	1526
177	2207	1513
178	2219	1500
179	2229	1486
180	2239	1472
181	2249	1458
182	2258	1444
183	2270	1431
184	2283	1419
185	2294	1406
186	2305	1393
187	2316	1379
188	2325	1366
189	2336	1352
190	2348	1340
191	2362	1328
192	2375	1317
193	2388	1305
194	2402	1293
195	2414	1281
196	2423	1267
197	2434	1254
198	2447	1242
199	2460	1230
200	2473	1218
201	2486	1206
202	2499	1194
203	2512	1182
204	2523	1169
205	2535	1156
206	2545	1143
207	2555	1130
208	2567	1117
209	2581	1106
210	2593	1093
211	2606	1082
212	2619	1069
213	2629	1056
214	2640	1043
215	2651	1031
216	2663	1018
217	2672	1005
218	2683	992
219	2695	980
220	2711	969
221	2723	957
222	2736	945
223	2751	933
224	2769	923
225	2799	916
226	2816	905
227	2837	896
228	2855	885
229	2871	873
230	2884	861
231	2897	849
232	2908	836
233	2920	823
234	2933	811
235	2945	798
236	2957	786
237	2966	772
238	2981	760
239	2992	748
240	3005	735
241	3014	722
242	3024	709
243	3035	696
244	3048	684
245	3059	671
246	3071	659
247	3082	646
248	3101	635
249	3131	626
250	3145	614
251	3158	601
252	3168	588
253	3179	575
254	3191	563
255	3203	550
256	3214	537
257	3223	524
258	3231	511
259	3241	498
260	3252	485
261	3264	473
262	3275	460
263	3287	448
264	3299	435
265	3312	423
266	3323	410
267	3334	398
268	3345	385
269	3358	373
270	3371	360
271	3386	348
272	3405	336
273	3424	324
274	3438	312
275	3451	300
276	3464	287
277	3503	277
278	3525	265
279	3539	252
280	3553	240
281	3568	227
282	3579	214
283	3589	202
284	3601	189
285	3613	176
286	3623	164
287	3634	151
288	3645	138
289	3657	126
290	3668	113
291	3682	100
292	3704	88
293	3724	76
294	3740	63
295	3755	50
296	3768	38
297	3785	25
298	3808	12
299	3828	0
